INT	INT	STRING	INT	INT	FLOAT	FLOAT	FLOAT	STRING	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	CNC	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	STRING	STRING
怪物编号	不可被攻击	名称	是否随玩家转向	是否显示头顶板和雷达信息	名字板高度	选中环大小	阴影大小	人物头像	外型ID	休闲间隔时间	是否可以交互	BOSS标记	移动速度	步行速度	特效名称1	绑定点名称1	特效名称2	绑定点名称2	特效名称3	绑定点名称3	特效名称4	绑定点名称4	NPC类型	客户端不关心后续列	等级	刷新周期	最小伤血百分比(Hppercent)	基础经验获得(EXP)	近程攻击获得(short range att)	远程攻击获得(long range att)	魔法攻击获得(magic att)	近程防御(short range recovery)	远程防御(long range recovery)	魔法防御(magic recovery)	HP上限(hp limit)	MP上限(mp limit)	HP回复(hp reversion)	MP回复(mp reversion)	命中(hit rate)	闪避（volt）	会心率（huixin)	韧性	属性攻击１(shuxingatt1 )	属性攻击２(shuxingatt2 )	属性攻击３(shuxingatt3)	属性攻击４(shuxingatt4)	属性防御１(shuxingrecovery1)	属性防御２(shuxingrecovery2)	属性防御３(shuxingrecovery3)	属性防御４(shuxingrecovery4)	调用脚本ID	攻击动作时间	攻击冷却时间	攻击速度	武器调用ID	马调用ＩＤ	基础AI	扩展AI	阵营	友好值	瞬时效果免疫ID	持续效果免疫ID	掉落分配半径(米)	掉落最大有效组队个数	掉落物品组(最多10组)	掉落概率（0~100）	马掉落ID	掉落ID	NPC类型名	NPC名称拼音索引
#		剧情地图NPC&怪物（1-499）																																																																				
1	1	汉-店小二男1	1	1	-1	200	100	set:CJSH_NPC_touxiang_1 image:CJSH_NPC_touxiang_1_6	2000	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
2	1	汉-铁匠男	1	1	-1	200	100	set:CJSH_NPC_touxiang_2 image:CJSH_NPC_touxiang_2_1	2001	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
3	1	汉-无刀屠夫男	1	1	-1	200	100	set:CJSH_NPC_touxiang_26 image:CJSH_NPC_touxiang_26_1	2002	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
4	1	汉-店小二男2	1	1	-1	200	100	set:CJSH_NPC_touxiang_23 image:CJSH_NPC_touxiang_23_2	2003	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
5	1	汉-绿衣公子	1	1	-1	200	100	set:CJSH_NPC_touxiang_23 image:CJSH_NPC_touxiang_23_3	2006	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
6	1	汉-金衣男贵族	1	1	-1	200	100	set:CJSH_NPC_touxiang_23 image:CJSH_NPC_touxiang_23_5	2007	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
7	1	汉-蓝衣男贵族	1	1	-1	200	100	set:CJSH_NPC_touxiang_1 image:CJSH_NPC_touxiang_1_14	2008	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
8	1	汉-文官	1	1	-1	200	100	set:CJSH_NPC_touxiang_1 image:CJSH_NPC_touxiang_1_7	2009	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
9	1	汉-盔甲武官	1	1	-1	200	100	set:CJSH_NPC_touxiang_3 image:CJSH_NPC_touxiang_3_4	2018	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
10	1	汉-小男孩	1	1	-1	200	100	set:CJSH_NPC_touxiang_8 image:CJSH_NPC_touxiang_8_4	2028	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
