INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	INT	STRING	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT
MissionID	ScriptID	Mission_Type	任务名称	任务名称用于客户端显示	前续任务MissionID	前续任务MissionID	前续任务MissionID	Min等级	Max等级	接任务所需金钱类型	接任务金钱花费	"国家:0-3,对应国家;-1无国家限制;"	"职业:0-5,对应职业;-1无职业限制;"	阵营	目标索引	目标索引	目标索引	目标索引	目标索引	奖励金钱类型	固定金钱奖励P1	固定金钱奖励P2	固定金钱奖励P3	固定经验奖励P1	固定经验奖励P2	固定经验奖励P3	奖励附加数值类型（0朝廷声望，1江湖声望，2PK值，3荣誉（功勋），4帮贡，5文采）	固定附加数值奖励P1	固定附加数值奖励P2	固定附加数值奖励P3	活力相关奖励类型0：活力（单位：点），1：魅力（单位：点），2：天赋（单位：点）	固定附加数值奖励	帮会国家相关奖励类型0：帮会经验（单位：点），1：国家资源-食物（单位：袋），2：国家资源-金钱（单位：两），3：国家资源-木材（单位：根），4：国家资源-金属（单位：块）	固定附加数值奖励	固定物品奖励ID	奖励个数	固定物品奖励ID	奖励个数	固定物品奖励ID	奖励个数	固定物品奖励ID	奖励个数	随机物品奖励ID	奖励个数	随机物品奖励ID	奖励个数	随机物品奖励ID	奖励个数	随机物品奖励ID	奖励个数	随机物品奖励ID	奖励个数	随机物品奖励ID	奖励个数	是否还调用脚本奖励：0，不；1，调用对应scriptid脚本	任务描述	任务攻略	目标未全部完成交任务时的对话	放弃任务	目标已经全部完成交任务时的对话	交任务NPC_OBJID	交任务NPC名称	交任务NPC所在地图ID	自动寻路索引(scenemap_npc.tab中对应的index)，-1为无	后续自动任务类型0弹界面1强制-1无效	后续自动接任务的MissionID	追踪目标1	追踪目标2	追踪目标3	追踪目标4	追踪目标5	小提示	任务管理器同步（0为不同不，1为同步）	特殊处理标记 0或空:表示无特殊处理 1表示任务不能删除	接任务图标标记 0:剧情任务 1:循环任务 2:传送点
#	罕难河草原		0	49																																																																							
1	-1	0	【剧场】长生天之子	【剧场】长生天之子	-1	-1	-1	10	40	-1	0	-1	-1	-1	22000	-1	-1	-1	-1	1	176	0	0	800	0	0	1	25	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	\t近日贫道夜观天象，发现天狼星坠落于此。经再三推算，天狼星应对之人正是铁木真，蒙古被长生天所祝福的人。\n\t年轻的#Y@myname#K，你去相助他如何？他和他的兄弟就在前面的特木尔岭，你顺路一直走，定能遇上。	找到天命之人@npc_101001		你真的放弃任务？	\t这些可恨的马贼！他们三番四次的对我们骚扰！\n\t你说什么天命之人？你又是谁？	101001	铁木真	-1	-1	0	2	找到@npc_101001						0		0
2	-1	0	【剧场】结义安答	【剧场】结义安答	1	-1	-1	10	-1	-1	0	-1	-1	-1	22000	-1	-1	-1	-1	1	176	0	0	800	0	0	1	25	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	\t既然来到了我们的草原，也就是我们的客人，只是现在我们正被可恶的马贼所困扰，不能招待你了。札木合，木华黎是我结义的安答，就是结拜的兄弟，你去与他们谈谈如何能赶走这群可恶的马贼。	去问问@npc_101003发生了什么事。		放弃任务	\t我和木华黎是铁木真的安答，这片草原上的牧民没有不认识我们三人的。我们正准备去对付那些该死的马贼！	101003	札木合	-1	-1	-1	-1	找到@npc_101003						0		0
3	-1	0	【剧场】夺回小红马	【剧场】夺回小红马	2	-1	-1	10	-1	-1	0	-1	-1	-1	52004	-1	-1	-1	-1	1	176	0	0	1495	0	0	1	25	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	\t无恶不作的托尔歹三兄弟抢走了我们的朋友孛儿贴的小红马，我们一定要抢回来。\n\t他们还走不远，分开行动应该会快一点。	去东面消灭@npc_13019之一，抢回小红马。	\t我们答应过孛儿贴一定要拿回小红马。	放弃任务	\t谢谢你为我们和孛儿贴找回了小红马，但是我们又遇到了新的难题。	101001	铁木真	-1	-1	-1	-1	去东面消灭@npc_13019之一，抢回小红马					#G按下I键可以寻找并加入一个队伍。	0		0
4	-1	0	【剧场】草原明珠	【剧场】草原明珠	20	3	-1	10	-1	-1	0	-1	-1	-1	22004	-1	-1	-1	-1	1	176	0	0	1495	0	0	1	25	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	\t薛德禅的女儿是我们三兄弟的好朋友，也就是这罕难河草原上最美丽的女子--草原明珠孛儿贴。\n\t孛儿贴许诺，我们三人中谁找到马，就是她未来的丈夫，我们曾经激动不已，现在才发现，孛儿贴真是给我们出了个难题啊。\n\t还是由你帮我们把小红马送去吧。	将小红马送去给@npc_101004		放弃任务	\t你是他们三兄弟的朋友吗？那就请不用客气，你也是我的朋友。\n\t谢谢你们从可恶的蔑里岂马贼那拿回了我的小红马，可是我……	101004	孛儿贴	-1	-1	0	5	将小红马送去给@npc_101004						0		0
5	-1	0	【剧场】父亲的忧虑	【剧场】父亲的忧虑	4	-1	-1	10	-1	-1	0	-1	-1	-1	22000	-1	-1	-1	-1	1	187	0	0	1495	0	0	1	25	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	\t这些天我的父亲一直愁眉不展，你帮我问问，发生了什么事？	去找@npc_101005		放弃任务	\t麻烦事一件接着一件的来，难道是上天要毁灭我徳薛禅家族吗？	101005	德薛禅	-1	-1	0	-1	去找@npc_101005								
6	-1	0	【剧场】熊之祸	【剧场】熊之祸	5	-1	-1	10	-1	-1	0	-1	-1	-1	12003	-1	-1	-1	-1	1	187	0	0	1495	0	0	1	25	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	0	10016001|10026001|10036001|10046001|10056001|10066001|10352001|10362001|10372001|10382001|10392001|10402001	1	-1	0	-1	0	-1	0	-1	0	-1	0	0	\t可怜我们的那只牧羊犬，背花，昨天那些熊来的时候它勇敢的冲了上去，再也没有回来。你看我身边的牧羊犬花背一直闷闷不乐，整天不吃东西。\n\t你能帮我除掉罕难河草原上的那些熊么？	除掉5头@npc_13012	\t可怜的背花，你在哪里呢。	放弃任务	\t你这次也没有发现背花的踪迹么？背花…… \n\t#K还是…… 要多谢你除掉了熊，#Y@myname#K。	101005	德薛禅	-1	-1	-1	-1	除掉5头@npc_13012						0		0
7	-1	0	【剧场】女儿的心愿	【剧场】女儿的心愿	5	-1	-1	10	-1	-1	0	-1	-1	-1	52001	-1	-1	-1	-1	1	209	0	0	1495	0	0	1	25	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	10256010	1	10256011	1	10256012	1	-1	0	-1	0	-1	0	0	\t孛儿贴很想要一条围脖，而这草原上最好的就是银狐尾编织的银狐围脖。\n\t可是银狐狡猾而凶猛，很难取得银狐尾。你能帮我这个忙吗？	猎杀@npc_13011，带回5个银狐尾	\t银狐狡猾而凶猛，你要小心。	放弃任务	\t这么快就拿回来了？只有真正的勇士才能取得这美丽的银狐尾啊。	101005	德薛禅	-1	-1	-1	-1	猎杀@npc_13011取得5个银狐尾						0		0
8	-1	0	【剧场】银狐围脖	【剧场】银狐围脖	7	-1	-1	10	-1	-1	0	-1	-1	-1	22000	-1	-1	-1	-1	1	209	0	0	1495	0	0	1	25	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	\t要说编织，没人能比得上月伦夫人，拿去给她一定能把这银狐尾编织成漂亮的银狐围脖。	去找@npc_101006取编织好的银狐围脖		放弃任务	\t稍等一下，围脖马上做好。	101006	月伦夫人	-1	-1	0	9	去找@npc_101006						0		0
9	-1	0	【剧场】礼物	【剧场】礼物	8	-1	-1	10	-1	-1	0	-1	-1	-1	22002	-1	-1	-1	-1	1	187	0	0	800	0	0	1	25	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	\t好了，快拿给孛儿贴吧，这孩子一定会很高兴的。	将银狐围脖送给@npc_101004		放弃任务	\t（孛儿贴抚摸着银光泛泛的柔软绒毛）请替我谢谢铁木真的母亲，告诉她我很喜欢她织的围脖。	101004	孛儿贴	-1	-1	-1	-1	将银狐围脖送给@npc_101004						0		0
10	-1	0	【剧场】蔑里岂猛于虎	【剧场】蔑里岂猛于虎	6	9	-1	10	-1	-1	0	-1	-1	-1	12000	12002	-1	-1	-1	1	198	0	0	800	0	0	1	25	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	\t昨天蔑里岂的首领带着蔑里岂士兵前来抢亲，是我们族人拼了命的保护才让那些野蛮的蔑里岂人没有得逞。可是我怕不用多久他们又会回来的。这怎么办好？\n\t我的义子速不台单身一人去追他们了，希望你能去帮帮他。	消灭@npc_13015和5个@npc_13014	\t将蔑里岂人赶出这片草原。	放弃任务	\t无恶不作的蔑里岂人，这次一定要给他们点教训。\n\t什么，你已经为我们教训了蔑里岂人？十分感谢你，这样我们的族人就可以安宁的生活在这片草原上了。	101007	速不台	-1	-1	0	11	消灭5个@npc_13014	消灭@npc_13015					0		0
11	-1	0	【剧场】速不台的追随	【剧场】速不台的追随	10	-1	-1	10	-1	-1	0	-1	-1	-1	22000	-1	-1	-1	-1	1	209	0	0	800	0	0	1	25	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	10276001	1	10276002	1	10276003	1	-1	0	-1	0	-1	0	0	\t铁木真！你刚才说的就是那个草原英雄铁木真？我对他是敬仰已久，请回去转告德薛禅，我打算去追随铁木真。	回复@npc_101005		放弃任务	\t草原上的苍狼总会追寻最强大的狼王，这也一定是长生天的旨意，速不台陪伴铁木真，比在我这里终老一生是个好的多的选择。	101005	德薛禅	-1	-1	0	13	回复@npc_101005								
13	-1	0	【剧场】孛儿贴的选择	【剧场】孛儿贴的选择	11	-1	-1	10	-1	-1	0	-1	-1	-1	22000	-1	-1	-1	-1	1	198	0	0	1495	0	0	1	25	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	\t孛儿贴这孩子似乎也有了自己的心事，一直在犹犹豫豫的好像有话要对你说。	询问@npc_101004的心意		放弃任务	\t我……我已经仔细的想过了，应该相信自己的感觉，在他们中做出自己的选择。	101004	孛儿贴	-1	-1	-1	-1	询问@npc_101004的心意						0		0
14	-1	0	【剧场】孛儿贴的歉意<一>	【剧场】孛儿贴的歉意<一>	13	-1	-1	10	-1	-1	0	-1	-1	-1	22000	-1	-1	-1	-1	1	220	0	0	1495	0	0	1	25	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	\t请告诉木华黎大哥，孛儿贴选择了铁木真，愿意永远和铁木真在一起。	将孛儿贴的话带给@npc_101002		放弃任务	\t哈哈哈，铁木真这家伙果然有一手啊，远近闻名的草原明珠孛儿贴也对他芳心暗投。\n\t不过么，他们两人确实很般配，至少比我般配多了，我祝福他们，愿长生天保佑他们永远幸福。    	101002	木华黎	-1	-1	-1	-1	找到@npc_101002						0		0
15	200000	1	【剧场】孛儿贴的歉意<二>	【剧场】孛儿贴的歉意<二>	13	-1	-1	10	-1	-1	0	-1	-1	-1	22000	-1	-1	-1	-1	1	220	0	0	1495	0	0	1	25	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	\t请你告诉札木合，在孛儿贴的心中，他一直如兄长一般，希望以后他能继续做孛儿贴的大哥。	将孛儿贴的话带给@npc_101003		放弃任务	\t孛儿贴选择了铁木真？一直是把我当兄长看待？我不相信！我平时对孛儿贴那么好，她居然仅仅把我当个哥哥！难道她真的不明白我的心意么…… \n\t我最心爱的孛儿贴……难道真的和传言说得一样，铁木真是天狼星转世，是这片草原的主人么？	101003	札木合	-1	-1	-1	-1	找到@npc_101003						0		0
