INT	INT	INT	STRING	INT	INT	INT	INT	STRING	INT	STRING	STRING
Index	"类型:0,非定点;1,定点"	物品ID	要使用物品的地图ID	PosX	PosZ	响应半径R	使用物品后响应的技能	使用完物品后的提示	使用完物品是否有对白	使用完物品的对白	在错误地点使用的提示信息
#	楼兰边境	60000	60199								
60000	1	12030010	-1	376	401	10	-1	你使用了本物品！	1	完成任务！	
60001	1	13020206	51|151|251|351	60	292	10	-1	你灌满了圣水瓶！	0		
60002	1	13020212	51|151|251|351	218	318	10	-1	你摧毁了灵魂水晶！	0		
60003	1	13020225	51|151|251|351	210	40	10	-1	使用了宝珠，周围的雾气渐渐散去！	0		
#	莱茵边境	60200	60399								
#	昆仑边境	60400	60599								
#	敦煌边境	60600	60799								
#	楼兰王城	60800	60999								
60800	1	13030086	50|150|250|350	68	98	4	-1	你撒下渔网	0		
60801	1	13030093	50|150|250|350	79	232	2	-1	你缓缓打开通天古卷	0		通天古卷必须在通天水晶旁使用。
60802	1	13030113	50|150|250|350	25	95	2	-1	一股水波突然包裹住你！	0		看来这里不适合使用。
#	大都	61600	61799								
61600	1	13020301	17	220	45	10	-1	你灌满了水瓶	0		
61601	1	13020306	17	161	68	10	-1	你点燃了烟花	0		
61602	1	13020318	0	138	405	10	-1	灌满了水碗	0		
61700	1	13011707	0	414	364	10	-1	肥皂泡飞上了天！	0		
61701	1	13011706	0	461	304	10	-1	鞭炮声响彻天涯！	0		
61702	1	13011700	0	423	402	10	-1	风筝在高空翱翔！	0		
61703	1	13011708	0	422	413	10	-1	纸船顺着河流向远方！	0		
#	威海港	61800	61999								
61800	1	13040030	0	86	183	10	-1	耳边只有呼啸风声	1	转眼间你以身处泰山山麓	
#	大元皇宫										
#	明教总舵										
#	武林总坛										
#	罕难河草原	62000	62049								
#	乞颜部大营	62050	62099								
62050	1	13020002	53|153|253|353	25	159	10	-1	灌满了水囊	0		
#	塔塔尔部	62100	62149								
62100	1	13030052	55|155|255|355	142	41	5	-1	你把泻药倒入了水源，白色的粉末迅速融化在水中。	1	你把泻药倒入了水源，白色的粉末迅速融化在水中。	
62101	1	13030053	55|155|255|355	71	101	10	-1	你点燃了火雷弹。	1	一声巨响之后，塔塔尔营门化成一片火海。	
62102	1	12100013	55|155|255|355	109	96	10	-1	你将炮弹塞入炮膛，点着了引线。	1		
#	克烈部大营	62150	62199								
62150	1	13030055	54|154|254|354	77	220	5	-1	你引发了苍狼杖内的力量。	1	耀眼的光芒刺痛了你的眼睛，难以相信一根小小的杖内蕴含了如此的力量。	
#	乃蛮部草原	62200	62249								
62200	1	13040009	56|156|256|356	44	160	10	-1	你点燃炮仗，一声尖啸，空中腾起火焰！	1	很快你看到远处有回应，快回去找木华黎看看新情况吧！	
#	金国乌沙堡	62250	62299								
62250	1	13040007	57|157|257|357	75	226	10	-1	你向湖中投入了毒药。	1	湖水变浑，然后又迅速变清，看来毒药已经起效了。	
62251	1	13040008	57|157|257|357	98	147	10	-1	一声尖啸，穿云箭在空中炸开了花！	1	穿云箭在空中炸开，显示出蒙古的标志。	
#	剧情太行山	62300	62349								
62300	1	13040013	502	216	62	10	-1	你放出了母马，着急哺乳的母马的嘶鸣声，响彻山谷。	1	随着母马的嘶鸣，一群公马飞奔而来，贪婪的望着母马。	
62301	1	13040010	502	39	44	10	-1	你点燃了金军的帐篷！	1	随着火焰的燃烧，金军营中人声逐渐嘈杂起来，不少金兵慌慌张张的跑来。	
62302	1	13040014	502	44	105	10	-1	你把宣传皮锻散发在金国营帐四周，大风吹来，皮锻四散而去！	1	金兵看到一张张宣传皮锻，拾起后纷纷交头接耳。	
#	金国凤翔府	62350	62399								
#	金国蔡州城	62400	62449								
#	西夏中兴府	62450	62499								
62450	1	13030070	501	184	206	5	-1	你悄悄的打开纸包，将香糜放在地上。	1	周围传来悉悉索索的声音，有东西从地下钻了出来。	
#	西夏贺兰山	62500	62549								
62500	1	13040025	61|161|261|361	170	132	10	-1	你点燃了火箭！	1	七彩的火光照耀着大地，你似乎预料到这次贺兰山之行会很顺利。	
62501	1	13040026	61|161|261|361	96	116	10	-1	你把食物撒放在四周！	1	周围响起一阵悉悉索索的声音，看来是那群西夏兵闻到食物的香味聚集过来了。	
#	西辽王城	62550	62599								
62550	1	13020412	509	140	162	10	-1	有愿随成吉思汗东归蒙古草原者大汗绝不抛下！	0		
62551	1	13020415	509	190	158	10	-1	你敲响了鼓！	0		
#	西辽碎叶城	62600	62649								
