INT	INT	INT	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING
INDEX	任务组	子任务类型	子任务ID	需要OBJID名字	OBJ_NAME	数量	NPC场景ID	SCENE_NAME	NPC_X	NPC_Z	NPC应对对话
1	0	0	0	200	乃蛮1	3	0	陵洞	78	154	-1
2	0	0	1	201	乃蛮2	3	0	陵洞	79	152	-1
3	0	0	2	202	乃蛮3	3	0	陵洞	80	153	-1
4	0	0	3	203	乃蛮4	3	0	陵洞	80	155	-1
5	0	0	4	204	乃蛮5	3	0	陵洞	82	153	-1
6	0	1	5	12090007	飞信	1	-1	-1	-1	-1	-1
7	0	1	6	12010002	麒麟2级红药	1	-1	-1	-1	-1	-1
8	0	2	7	100	铁木真	1	0	陵洞	46	220	谢谢啦!
9	0	2	8	103	速不台	1	0	陵洞	40	228	你完成了你的使命！
10	0	2	9	123	盟军	1	7	野狐岭	169	160	我军有救了！
11	0	2	10	108	豁儿赤	1	7	野狐岭	204	218	送信完成！告诉他我叫豁儿赤！
12	1	0	0	220	塔塔尔	3	0	陵洞	82	155	-1
13	1	0	1	221	塔塔尔	3	1	陵洞	81	148	-1
14	1	0	2	222	塔塔尔	3	2	陵洞	83	147	-1
15	1	0	3	223	塔塔尔	3	3	陵洞	83	149	-1
16	1	0	4	224	塔塔尔	3	4	陵洞	85	153	-1
17	1	1	5	12010003	麒麟3级红药	1	-1	-1	-1	-1	-1
18	1	1	6	12010004	麒麟4级红药	1	-1	-1	-1	-1	-1
19	1	2	7	100	铁木真	1	0	陵洞	46	220	谢谢啦!
20	1	2	8	103	速不台	1	0	陵洞	40	228	你完成了你的使命！
21	1	2	9	123	盟军	1	7	野狐岭	169	160	我军有救了！
22	1	2	10	108	豁儿赤	1	7	野狐岭	204	218	送信完成！告诉他我叫豁儿赤！
23	2	0	0	260	蔑尔乞	3	5	红沙漠	120	82	-1
24	2	0	1	262	蔑尔乞	3	5	红沙漠	143	88	-1
25	2	0	2	263	蔑尔乞	3	5	红沙漠	124	61	-1
26	2	0	3	265	蔑尔乞	3	4	哥疾宁	178	225	-1
27	2	1	4	12010005	麒麟5级红药	1	-1	-1	-1	-1	-1
28	2	1	5	12010006	麒麟6级红药	1	-1	-1	-1	-1	-1
29	2	2	6	100	铁木真	1	0	陵洞	46	220	谢谢啦!
30	2	2	7	103	速不台	1	0	陵洞	40	228	你完成了你的使命！
31	2	2	8	123	盟军	1	7	野狐岭	169	160	我军有救了！
32	2	2	9	108	豁儿赤	1	7	野狐岭	204	218	送信完成！告诉他我叫豁儿赤！
33	3	0	0	266	金国士兵	3	5	红沙漠	206	182	-1
34	3	0	1	267	蒙古士兵	3	6	居庸关	116	81	-1
35	3	0	2	269	金国勇士	3	6	居庸关	107	200	-1
36	3	0	3	270	先知	3	6	居庸关	174	110	-1
37	3	1	4	12010007	麒麟7级红药	1	-1	-1	-1	-1	-1
38	3	1	5	12010008	麒麟8级红药	1	-1	-1	-1	-1	-1
39	3	2	6	100	铁木真	1	0	陵洞	46	220	谢谢啦!
40	3	2	7	103	速不台	1	0	陵洞	40	228	你完成了你的使命！
41	3	2	8	123	盟军	1	7	野狐岭	169	160	我军有救了！
42	3	2	9	108	豁儿赤	1	7	野狐岭	204	218	送信完成！告诉他我叫豁儿赤！
43	4	0	0	271	巡逻的叛军	3	6	居庸关	146	149	-1
44	4	0	1	272	哈儿真	3	6	居庸关	152	159	
45	4	0	2	273	金国百姓	3	6	居庸关	104	160	
46	4	0	3	274	逃亡的金兵	3	6	居庸关	112	197	
47	4	0	4	275	投降的金兵	3	4	哥疾宁	201	77	
48	4	1	5	12010008	麒麟8级红药	1	-1	-1	-1	-1	-1
49	4	1	6	12010009	麒麟9级红药	1	-1	-1	-1	-1	-1
50	4	2	7	100	铁木真	1	0	陵洞	46	220	谢谢啦!
51	4	2	8	103	速不台	1	0	陵洞	40	228	你完成了你的使命！
52	4	2	9	123	盟军	1	7	野狐岭	169	160	我军有救了！
53	4	2	10	108	豁儿赤	1	7	野狐岭	204	218	送信完成！告诉他我叫豁儿赤！
