INT	INT	STRING	STRING	STRING	STRING	STRING
Index	题目类型	题目	答案1	答案2	答案3	答案4
0	0	袋子里有12个球，可能是红的或者白的，前两次分别掏出并且放回袋中的球都是红色的，则再掏一个红球的概率是？	58.30%	50%	66.70%	47.10%
1	0	小明有两个兄弟，小毛和大明，则大明和小毛是什么关系？	不知道	没关系	兄弟	互为杀父仇敌
2	0	正确答案说真话，错误答案说假话，则这道题的答案是？	楼主在说谎！	我是错误答案	我也是错误答案	我是来打酱油的！
3	0	被称为“英雄树”的是哪种植物？	英雄树	石榴	木棉	棉花
4	0	春节以送什么花为佳？	康乃馨	石榴花	牡丹花	富贵菊
5	0	草莓的另一个名字是？	地洋霉	树上酶	草上酶	串根酶
6	0	传统的冰糖葫芦是以什么水果为主要原料的？	竹签	山楂	草莓	菠萝
7	0	父亲节以送什么花为佳？	满天星	荷花	红莲花	薰衣草
8	0	什么样的水不能喝？ 	奶水	汽水	口水	薪水
9	0	汽球内有空气，那游泳圈内有什么？	人	海水	汽水	河水
10	0	历史上哪个人跑得最快? 	刘翔	曹操	比尔盖兹	刘备
11	0	什么人每天靠运气赚钱? 	小偷	强盗	气功师	路匪
12	0	奥运会上设金牌数量最多的项目是？	乒乓球	射击	游泳	田径
13	0	历史上第一届无烟奥运会是第几届奥运会？	25届	24届	23届	22届
14	0	北京奥运会的吉祥物中福娃妮妮代表的颜色是？	红	绿	白	紫
15	0	奥运会上，在主体会场点燃的火炬象征着什么？	和谐	混乱	光明	黑暗
16	0	什么奶粉喝了以后会得肾结石？	蒙牛奶粉	雀巢奶粉	光明奶粉	三鹿奶粉
17	0	奥运会多少年举行一次？	4年	3年	2年	1年
18	0	跳水项目中有下列哪个高度的比赛？	2.8米	3米	3.1米	3.5米
19	0	第一位获美国欧文斯奖的亚洲运动员是？ 	王海燕	王军燕	王军霞	王海霞
20	0	奥运选手在下面那种情况下会被取消成绩？	随地大小便	无组织无纪律	辱骂教练	服用兴奋剂
21	0	奥运会摔跤比赛每回合几分钟？	3分钟	2分钟	1分钟	4分钟
22	0	奥林匹克运动会因举办地在哪而得名？	奥林巴斯	奥林匹亚	奥林匹克	奥运会
23	0	足球从哪个国家起源？	朝鲜	日本	中国	韩国
24	0	柔道最高段位的腰带颜色是？	紫色	白色	黑色	红色
25	0	奥运会女子网球的赛制是？	三局两胜	五局三胜	七局五胜	九局七胜
26	0	奥运会手球项目每队几名队员？	5名	7名	4名	6名
27	0	鸡血藤的汁液是什么颜色的?	中国红	印度红	鸡血红 	珊瑚红
28	0	花生的果实是在长在什么地方的？	花上的	叶上的	茎上的	根上的
29	0	槐树的树干是什么形状的?	圆形	方形	圆锥形	香烟型
30	0	干制品被称为桂圆的是？	干桂圆	龙眼	凤眼	鸡眼
31	0	修理指甲最好的工具是？	剪刀	杀猪刀	指甲刀	菜刀
32	0	什么能抑制菠萝酶的活动，使菠萝吃起来不会产生麻木刺痛感？	酱油	醋	奶粉	盐
33	0	绿叶植物在白天会吸进以下哪一种气体?	二氧化碳	二氧化氯	一氧化碳	一氧化铝
34	0	棉蚜虫对什么庄稼作物的危害最大? 	水稻	棉花	玉米	大豆
35	0	母亲节适宜送什么花？	鸡尾花	牡丹花	康乃馨	玫瑰花
36	0	“梦骑白凤上青空，径度银河入月宫。身在广寒香世界，觉来帘外木樨风。”形容的花是什么花？	白凤花	木犀花	野花	桂花
37	0	两大洲同时举办一次奥运会是何时？	1956年	1955年	1958年	1960年
38	0	举办奥运会最多的国家是？	英国	美国	法国	俄罗斯
39	0	2008奥运会的举办国是？	柬埔寨	韩国	中国	日本
40	0	新中国第一位获得奥运会金牌的男运动员是？	海大富	许文强	刘翔	许海峰
41	0	“黄袍加身”成为开国皇帝是谁？	朱元璋	赵匡义	赵匡胤	刘邦
42	0	是谁将诸葛亮推荐给刘备的？	徐庶	简雍	蒯良	孙乾
43	0	“桃园三结义”里，排行老三的是谁？	关羽	张飞	赵云	刘备
44	0	梁山泊上好汉总共有多少位？	107	105	111	108
45	0	诸葛亮被世人称为什么？	卧龙先生	凤雏先生	神机军师	入云龙
46	0	在《水浒传》中的“打虎英雄”是谁？	武大郎	西门庆	武松	李逵
47	0	在《水浒传》里，风雪山神庙的英雄是谁？	杨志	林冲	陆谦	鲁智深
48	0	在《隋唐演义》中，武艺排名第一的是谁？	裴元庆	宇文成都	魏文通	李元霸
49	0	在《西游记》中，是谁把孙悟空压在五指山下？	观音菩萨	文殊菩萨	释迦牟尼	唐三藏
50	0	在《水浒传》中是谁杀了泼皮牛二？	张顺	杨志	董平	秦明
51	0	《水浒传》中好汉张顺的外号是什么？	船火儿	出洞蛟	浪里白条	玉幡竿
52	0	是哪位英雄好汉在长坂坡单骑救主？	张文远	张翼德	甘兴霸	赵子龙
53	0	在虎牢关一役中，刘备、关羽和张飞三人合力都未曾战胜的武将是谁？	吕布	文丑	颜良	华雄
54	0	袁绍的同族弟弟是谁？	袁胤	袁遗	袁尚	袁术
55	0	在《水浒传》里，豹子头是谁的绰号？	李俊	林冲	呼延灼	公孙胜
56	0	梁山泊最开始的头领是谁？	晁盖	宋江	王伦	卢俊义
57	0	三国演义里，诛杀颜良、文丑二人的是哪位武将？	关云长	夏侯惇	马孟起	周幼宰
58	0	三国里，北海城被黄巾贼管亥所围困，是谁解了北海之围？	凌统	太史慈	孙坚	徐晃
59	0	什么东西天气越热，它爬的越高？	热气球	火苗	温度计	云彩
60	0	什么动物，你打死了它却流了你的血？	狼	蜘蛛	熊	蚊子
61	0	谁天天去看病？	隔壁大叔	医生	老师	警察
62	0	什么照片看不出照的是谁？	彩色照片	1寸照片	X光照片	黑白照片
63	0	一对健康的夫妇，为什么会生出一个没有眼睛的后代？	他们身体不好	他们孩子是残疾	他们是家禽类动物，下的是蛋	孩子被掉了包
64	0	王老太太整天喋喋不休，可她有一个月说话最少，是哪一个月？ 	二月	四月	十月	八月
65	0	什么布剪不断？	麻布	丝布	坯布	瀑布
66	0	小张被关在一间并没有上锁的房间里，可是他使出吃奶的力气也不能把门拉开，这是怎么回事？	门的宽度不合适	因为把门推开就行了	小张的力气小	小张拉门拉反了
67	0	在一次考试中，一对同桌交了一模一样的考卷，但老师认为他们肯定没有做弊，这是为什么？ 	他们名字不一样	他们的笔水颜色不一样	他们交的都是白卷	他们的笔迹不一样
68	0	加热会凝固的东西是什么？ 	盐	鸡蛋	糖	冰块
69	0	有一头头朝北的牛，它向右转原地转三圈，然后向后转原地转三圈，接着再往右转，这时候它的尾巴朝哪？	朝南	朝北	朝东	朝地
70	0	为什么有家医院从不给人看病？	兽医院	206医院	604医院	友谊医院
71	0	制造日期与有效日期是同一天的产品是什么？	蛋糕	薯片	报纸	花生
72	0	用椰子和西瓜打头哪一个比较痛？ 	西瓜疼	椰子疼	一样疼	头疼
73	0	小王一边刷牙，一边悠闲的吹着口哨，他是怎么做到的？	一种特技	刷假牙	一种魔术	不妨碍
74	0	有一位老太太上了公车，为什么没人让座？	因为有空座位	因为人多没看见	因为人们不想让	因为售票员不让让座
75	0	“水蛇”“蟒蛇”“青竹蛇”哪一个比较长？	水蛇长	蟒蛇长	青竹蛇长	一样长
76	0	书店买不到的书是什么书？ 	禁书	历史书	政治书	秘书
77	0	什么水取之不尽用之不竭？	泉水	井水	自来水	口水
78	0	小王是一名优秀士兵，一天他在站岗值勤时，明明看到有敌人悄悄向他摸过来，为什么他却睁一只眼闭一只眼？ 	小王睡觉是睁一只眼闭一只眼	小王胆子很小	小王在瞄准敌人	小王的眼睛是失明的
79	0	什么门永远关不上? 	铁门	球门	木门	防盗门
80	0	打什么东西毫不费力? 	打瞌睡	打篮球	打拳击	打排球
81	0	船边挂着软梯，离海面2米，海水每小时上涨半米，几个小时海水能淹没软梯?	半个小时后	一个小时后	不会淹没软体	一个半小时后
82	0	月亮上去过外星人吗? 	火星人去过	地球人去过	土星人去过	海王星去过
83	0	盖楼要从第几层开始盖?	一层	顶层	二层	地基层
84	0	什么地方开口说话要付钱? 	电话亭	饭店	洗手间	宾馆
85	0	当今社会，个体户大都靠什么吃饭? 	钞票	顾客	嘴巴	黄金地段
86	0	你只要叫它的名字就会把它破坏，它是什么？	玻璃	沉默	名字	水
87	0	什么东西经常会来，但却从没真正来过？	恐惧	高兴	明天	悲伤
88	0	汽车在右转弯时，哪一条轮胎不转？	左侧轮胎	备用轮胎	右侧轮胎	轮胎都不转
89	0	什么东西人们都不喜欢吃？	吃亏	吃胡萝卜	吃芹菜	吃榴莲
90	0	曹操的第一任贴身侍卫是谁？	许褚	曹仁	曹洪	典韦
91	0	曹操的第二任贴身侍卫是谁？	许褚	曹洪	典韦	曹仁
92	0	许褚被世人称作什么？	古之恶来	虎痴	无影神拳	红缨力王
93	0	在游戏中打开背包的快捷键是什么？	Q	C	B	L
94	0	在游戏中打开人物属性界面的快捷键是什么？	R	E	ALT+E	C
95	0	在游戏中打开任务管理器界面的快捷键是什么？	B	Q 	ALT+E	C
96	0	成吉思汗的名字叫什么？	铁木真	铁木真兀格	也速该	蒙力克
97	0	成吉思汗的孙子是谁？	窝阔台	忽必来	忽必烈	术赤
98	0	在游戏中玩家从新手村出来后，进入第一个任务场景名称是什么？	罕难河草原	乞颜部大营	克烈部大营	蓝龙城堡
99	0	刘备使用的武器是什么？	镔铁双剑	枣木枪	蔷薇剑	雌雄双股剑
100	0	关羽使用的武器是什么？	黄龙偃月刀	青龙偃月刀	红龙偃月刀	蓝龙偃月刀
101	0	张飞使用的武器是什么？	丈二点钢矛	丈五点钢矛	丈八点钢矛	丈十点钢矛
102	0	吕布使用的武器是什么？	方天画戟	蚩尤瀑布碎	断牙戟	古锭刀
103	0	在成吉思汗的世界里，创建帮会等级限制是多少？	20	30	50	40
104	0	在成吉思汗的世界里，创建帮会有什么条件？	钱	声望和帮主令	钱和声望	帮主令
105	0	跑帮贡任务的奖励是什么？	钱	经验	帮贡	声望
106	0	在成吉思汗世界里，骑乘的颜色一共有几种？ 	5	6	3	7
107	0	胡斐的父亲是谁？	胡传魁	胡一刀	胡宗南 	胡涂
108	0	胡斐的绰号是什么？	金刀银狐	黑妖狐	钻天神狐	雪山飞狐
109	0	下列哪个是温瑞安笔下的四大名捕？	无情	夺命	碎石	神丐
110	0	下列哪个是温瑞安笔下的四大名捕？	凤仙	蝶舞	铁手	水灵
111	0	四大名捕追命的真名是什么？	智化	展昭	崔略商	萧四无
112	0	四大名捕冷血的真名是什么？	燕南飞	冷凌弃	冷剑锋	冷月星
113	0	四大名捕的师傅是谁？	诸葛亮	诸葛神侯	诸葛均	诸葛天
114	0	楚留香被人们称作什么？	盗帅	盗神	盗仙	盗王
115	0	小李飞刀在百晓生的兵器排行榜上排名第几？	第一	第二	第三	第四
116	0	在紫禁之巅，谁最后赢得了胜利？	叶孤城	老实和尚	白玉堂	西门吹雪
117	0	在《多情剑客无情剑》一书里，阿飞使用的武器是什么？	刀	剑	鞭	暗器
118	0	下列人物哪些是《流星蝴蝶剑》里的？	萧十一郎	花无缺	孟星魂	杨过
119	0	下列哪些是《天涯明月刀》里的人物？	傅红雪	江小鱼	金花婆婆	方宝玉
120	0	“御猫”是哪位大侠的封号？	欧阳春	卢方	房书山	展昭
121	0	“白眉大侠”徐良是谁的儿子？	韩彰	徐庆	艾虎	蒋平
122	0	“玉面小达摩”白云瑞是谁的儿子？	徐庆	许仲达	张龙	白玉堂
123	0	清朝最后一个皇帝是谁？	玄烨	胤祯	溥仪	弘历
124	0	明朝的开国皇帝是谁？	朱元璋	朱头皮	朱棣	朱允文
125	0	在《三国演义》里，是谁勇猛地“拨矢啖睛”？	夏侯渊	夏侯惇	曹仁	曹性
126	0	《水浒传》中，林冲林教头最先认识的梁山好汉是谁？	王伦	杜迁	朱贵	鲁智深
127	0	哪个梁山好汉战死在涌金门？	秦明	张顺	邹润	孔亮
128	0	清朝雍正皇帝和康熙皇帝是什么关系？	父子	姐妹	兄弟	叔侄
129	0	齐天大圣孙悟空后来被封为什么佛？	弥勒佛	人参果佛	斗战胜佛	地藏佛
130	0	猪八戒西天取经成功后被封为什么？	圣火使者	净坛使者	神水使者	御风使者
131	0	下列哪招剑招是叶孤城的？	唐诗剑法	落花吹雪	剑神一笑	天外飞仙
132	0	在古龙先生写的武侠小说里，天下第一神偷指的是谁？	老实和尚	司空摘星	卓浩然	鹰眼老七
133	0	在古龙先生写的武侠小说里，哪位公子被称为天下第一美男子？	江玉郎	花无缺	江枫	神锡道长
134	0	在武侠小说《绝代双骄》里，哪位英雄被称为天下第一神剑？	燕南天	燕南飞	路仲远	紫髯道长
135	0	《绝代双骄》里，江枫有几个儿子？	1	2	3	4
136	0	在武侠小说《书剑恩仇录》中，谁被称为翠羽黄衫？	霍青桐	骆冰	余鱼同	李沅芷
137	0	三国时期，英雄刘备被汉献帝称为皇叔，他是谁的后人呢？	董旻	曹嵩	孙坚	刘胜
138	0	西蜀开国皇帝刘备，最开始是谁的属下？	刘表	董卓	刘焉	孙坚
139	0	三国故事里面，是谁将欲陷害刘备的督邮毒打一顿的？	许褚	严颜	黄忠	张飞
140	0	董卓的义子吕布曾经当过谁的干儿子？	刘表	丁原	刘璋	龚景
141	0	曹操曾为董卓献过七星宝刀，这把宝刀是谁送给曹操的？	吕布	刘备	王允	孔融
142	0	“宁教我负天下人，休叫天下人负我”是哪个人说的？	曹操	刘虞	马腾	马超
143	0	“云长停盏施英勇，酒尚温时斩华雄”说的是那位将军的事迹？	颜良	关羽	潘凤	俞涉
144	0	大将赵云曾经效力过哪个势力？	韩馥	袁术	张邈	公孙瓒
145	0	“江东之虎”孙坚的大儿子孙策被人成为什么？	两头蛇	笑面虎	小霸王	独角龙
146	0	孙坚是被谁设陷阱杀害的？	蒯越	黄祖	桓阶	蔡瑁
147	0	三国时期美女貂蝉是谁的养女？	王允	董卓	何进	张角
148	0	谁因为貂蝉被吕布杀死？	韩遂	董卓	丘力居	毋丘俭
149	0	马腾的大儿子孟起本名是什么？	马岱	马良	马谡	马超
150	0	吕布“辕门射戟”救的人是谁？	纪灵	袁术	刘备	张勋
151	0	足球在中国古代又叫做什么？	角球 	皮球	悠悠球 	蹴鞠
152	0	现代足球的起源地在哪里？	美国	巴西	西班牙	英国
153	0	在罚点球时，守门员应该站在什么位置?	球门间的球门线上	球门里	球门的任意位置	球门外
154	0	点球时，罚球点距离球门多远？	约12米	12码	9.15米	10米
155	0	中国是第几次承办女足世界杯赛？	第一次	第二次	第三次	第四次
156	0	新中国成立后，足球是从什么时候开始有全国足球赛的？	1949年	1986年	1951年	1990年
157	0	中国男子足球什么时候进入世界杯决赛圈？	2002年11月7日	2002年10月7日	2001年11月7日	2001年10月7日
158	0	第一届男子世界杯冠军是？	乌拉圭	巴西	西德	意大利
159	0	在现代足球比赛中，一场比赛中有多少名裁判？	1	2	3	4
160	0	第一界世界杯是什么时候举行的？	1930年7月18日	1930年8月18日	1931年7月18日	1931年8月18日
161	0	第一界世界杯是在哪里举行的？	意大利	乌拉圭	阿根廷	英国
162	0	世界杯夺冠次数最多的球队是？	德国队	意大利队	巴西队	阿根廷队
163	0	世界杯历史上进球最多的是谁？	罗纳尔多	克鲁伊夫	鲁梅尼格	莱因克尔
164	0	截至到2006年，世界杯一共举办了多少届？	8	12	24	18
165	0	意大利队一共几次获得世界杯冠军？	1	2	3	4
166	0	法国队一共几次获得世界杯冠军？	1	2	3	4
167	0	阿根廷队一共几次获得世界杯冠军？	1	2	3	4
168	0	德国队一共几次获得世界杯冠军？	1	2	3	4
169	0	英格兰队一共几次获得世界杯冠军？	1	2	3	4
170	0	2007夏以下哪名球员没能加盟曼联？	阿德里亚诺	伊布拉希莫维奇	贝尔巴托夫	欧文
171	0	07夏切尔西所买球员中哪名球员让切尔西花钱了？	因扎吉	马卢达 	多尼	本阿尔法
172	0	中国足球在奥运史上的最好成绩是什么？	第一名	第二名	第三名	第四名
173	0	1863年，哪个国家的足球协会制定了世界上最早的第一部足球竞赛规则？	中国	法国	英格兰	巴西
174	0	哪个情况下裁判可不鸣哨？	中场任意球 	点球	球赛结束	球员犯规
175	0	篮球运动发明人是谁？	詹姆斯·奈史密斯	张伯伦	迈克尔·乔丹	拉里·伯德
176	0	在有统计的篮球比赛中个人最高得分是多少？	90	60	144	80
177	0	篮球的标准尺寸下列哪个正确？	68.5厘米－69.5厘米	74.9厘米－78厘米	76厘米－81.5厘米	65厘米－68.5厘米
178	0	NBA篮球规则里，对于“乌龙球”队员得分怎么计算？	分数会记在那名球员的技术统计中	计在最后一个碰到球的进攻队员的身上	不记在任何人身上	计给离篮筐最近的球员或队长
179	0	篮球场上位置的英文缩写SG什么意思？	大前锋	小前锋	组织后卫	得分后卫
180	0	NBA篮球非投篮状态犯规多少次罚球?	单节全队犯满4次	累计满5次	单节全队犯满5次	单节全队犯满6次
181	0	NBA篮球个人什么时候被罚下场?	单节全队犯满4次	个人犯满6次	个人犯满4次	单节全队犯满6次
182	0	篮球运动中进攻方组织进攻超过多久算违例？	5秒	3秒	25秒	24秒
183	0	当某队在前场控制活球并且比赛计时钟正在运行时，该队的队员不得停留在对方队的限制区内超过几秒钟？	5	4	3	2
184	0	以下哪个不是犯规？	带球走步	脚踢球	拳击球	进攻方在限制区停留超过2秒
185	0	进攻球员必须在几秒钟之内掷出界外球？	5	4	3	2
186	0	一个球队从后场控制活球开始，必须在几秒钟内使球进入前场？	7	8	9	10
187	0	技术犯规后，该如何处罚？	判给对方２次罚球，以及随后在记录台对面的中线延长部分掷球入界	判给对方1次罚球，以及随后在底线抛球入界	判给对方２次罚球	判给对方3次罚球，以及随后在记录台中线延长部分掷球入界
188	0	如进攻方队员踩在三分线上投篮时受到犯规，应该判加罚几球？	1	2	3	9
189	0	哪一年的奥运会上，男子篮球比赛第一次被列为正式比赛项目？	1932	1936	1940	1944
190	0	奥运会篮球比赛由４节组成，每节多少分钟？	6	8	10	12
191	0	奥运会的篮球比赛中，如果第四节比赛结束时比分相等，需要加时赛来继续比赛，加时赛一节多少分钟？	12	10	5	2
192	0	奥运会的篮球比赛中，对于换人次数是怎么规定的？	4个换人名额	每节不超过4个	没有限制	10个换人名额
193	0	奥运会篮球比赛中，下半场每队可以获得几次暂停机会？	4	3	2	1
194	0	8秒内得到8分的神奇球员是？	雷吉·米勒	麦克格雷迪	斯托亚克维奇	拉里·伯德
195	0	美国共获得多少次奥运会篮球比赛冠军？	10次	11次	12次	13次
196	0	姚明是中国国家队主力中锋，他的身高是多少？	2米09 	2米18	2米20	2米26
197	0	中国篮球夺得了第一个亚运会冠军在哪一年？	1974年	1976年	1978年	1982年
198	0	08亚洲职业篮球冠军赛的冠军是谁？	广东宏远队	韩国三星队	日本北海道风神队	香港永伦队
199	0	NBA比赛时间多少分钟?	48分钟      	44分钟	40分钟	36分钟
200	0	哪一个号码是迈克尔乔丹没有穿过的球衣号码？	23号	9号	45号	13号
201	0	NBA中下列哪支球队不是中西部赛区的球队？	芝加哥公牛	休斯顿火箭	明尼苏达森林狼	孟菲斯灰熊
202	0	奥运会是哪一年允许职业篮球运动员参加比赛的？	1988年	1990年	1992年	1994年
203	0	国际篮联标准:整个篮球场地长宽分别是多少？	长28米，宽14米	长28米，宽15.5米	长28米，宽15米	长29米，宽15米
204	0	国际篮联标准:篮圈下沿距地面多少米？	3.20米	3.05米	3.10米	3.15米
205	0	国际篮联标准:球场线条宽度为多少米？	0.06米	0.05米	0.04米	0.03米
206	0	易建联被交易到哪个球队？	新泽西网	达拉斯小牛	休斯顿火箭	芝加哥公牛
207	0	孙悦在NBA的哪只球队效力？	孟菲斯灰熊	夏洛克山猫	萨克拉门托国王	洛杉矶湖人
208	0	飞人乔丹几次荣获NBA“最有价值球员”称号？	7次	6次	5次	4次
209	0	飞人乔丹几次荣获全明星大赛“最有价值球员”称号？	6次	5次	4次	3次
210	0	飞人乔丹几次率领芝加哥公牛队夺得NBA总决赛冠军？	4次	5次	6次	7次
211	0	下列哪个不属于美国职业篮球联盟？	ANBA	WNBA	NCAA	USDL
212	0	小前锋 SF-Small Forward一般是指几号位？	1号位	2号位	3号位	4号位
213	0	以下哪项是NBA特有的比赛规则？	8秒过半场	防守3秒违例	进攻3秒违例	24秒进攻违例
214	0	NBA目前的总裁是谁？	大卫·斯特恩	比尔·沃顿	张伯伦	迈克尔·乔丹 
215	0	NBA的3分线比国际篮联的远多少？	0.99米	2米	3米	4米
216	0	麦迪职业生涯得到的最高分是多少?	40分	50分	55分	62分
217	0	NBA历史上有哪个球队创下最高连续夺冠记录?	鹰队	凯尔特人队	活塞队	马剌队
