INT	STRING	STRING	INT	INT	INT
Index	奖励名称(最多16个字)	奖励说明（512字）	脚本ID	需要的背包空格	Min叠加数量
#					
0	空缺	空缺	-1	0	1
1	新手补偿	只有您在注册时绑定了新手卡，才能享受到达指定等级后就可以领取丰厚奖励的特权。	580000	7	1
2	银卡补偿	每份补偿将得到1两银卡。	580001	0	1
3	金卡补偿	每份补偿将得到1两金卡。	580002	0	1
4	现银补偿	每份补偿将得到1两现银。	580003	0	1
5	封测参与体验礼包	您将获得封测参与体验礼包，可以获得50个世传水晶。	580004	1	1
6	封测初级体验礼包	您将获得封测初级体验礼包，可以获得100个世传水晶。	580005	1	1
7	封测深度体验礼包	您将获得封测深度体验礼包，可以获得100个国传水晶。	580006	1	1
8	封测资深体验礼包	您将获得封测资深体验礼包，获得100个神传水晶。	580007	1	1
9	封测终极体验礼包	您将获得封测终极体验礼包，您将获得100个神传水晶。	580008	1	1
10	新浪剑龙套卡礼包	您将获得成吉思汗游戏与新浪合作的“新浪剑龙套卡”礼包，可以获得超炫外装、修行草和江湖请柬。	580009	1	1
11	新手卡礼包	您将获得成吉思汗游戏新手卡礼包，可以获得超炫时装，修行草和江湖请柬。	580010	1	1
12	新手卡系列礼包	您将获得成吉思汗游戏新手卡系列礼包。您需要有8个背包空间。	580011	8	1
13	现金补偿	每份补偿将得到1两现金。	580012	0	1
14	国传水晶	每份奖励将得到1颗国传水晶。	580013	1	250
15	神传水晶	每份奖励将得到1颗神传水晶。	580014	1	250
16	世传水晶	每份奖励将得到1颗世传水晶。	580015	1	250
17	初级龙眼石	每份奖励将得到1颗初级龙眼石。	580016	1	250
18	中级龙眼石	每份奖励将得到1颗中级龙眼石。	580017	1	250
19	高级龙眼石	每份奖励将得到1颗高级龙眼石。	580018	1	250
20	布袋包	您将获得1个绑定的布袋包。	580019	1	1
21	时装礼包	您将获得屠龙时装一件。	580020	1	1
22	屠龙卡系列礼包	您将获得成吉思汗游戏屠龙卡系列礼包。您需要有8个背包空间。	580021	8	1
23	暑假回归大礼包	您将获得一次性的经验大奖和银卡大奖。	580022	0	1
24	ChinaJoy幸运奖	您将获得5个商城道具！	580023	5	1
25	公测纪念礼包	您将获得《成吉思汗》公测的纪念时装1件。	580024	1	1
26	公测礼花卡礼包	您将获得成吉思汗游戏公测礼花卡系列礼包。您需要有8个背包空间。	580025	8	1
27	新手卡系列公测礼包	您将获得成吉思汗游戏公测新手卡系列礼包。您需要有8个背包空间。	580026	8	1
28	黄紫海蓝水银	每一份将获得1颗黄紫海蓝水银。	580027	1	1
29	黄紫水火水银	每一份将获得1颗黄紫水火水银。	580028	1	1
30	黄紫晕光水银	每一份将获得1颗黄紫晕光水银。	580029	1	1
31	黄紫炫彩水银	每一份将获得1颗黄紫炫彩水银。	580030	1	1
32	扩展仓库	您的第二页扩展仓库将被开启。如果已经开启过了任何扩展仓库，将无法开启新的扩展仓库。	580031	0	0
33	公测屠龙卡系列礼包	您将获得成吉思汗游戏公测屠龙卡系列礼包。您需要有8个背包空间。	580032	8	1
34	公测黄金卡系列礼包	您将获得成吉思汗游戏公测黄金卡系列礼包。您需要有8个背包空间。	580033	8	1
35	情侣喜鹊坐骑卡	您将获得成吉思汗游戏情侣喜鹊坐骑卡系列礼包。您需要有8个背包空间。	580034	8	1
36	帝国远征卡	您将获得成吉思汗游戏帝国远征卡系列礼包。您需要有8个背包空间。	580035	8	1
37	神传首饰盒	您将获得“黄金家族VIP金卡”活动所赠送的极品装备礼包----神传首饰盒一只。请您至少保留1格背包空间。	580036	1	1
38	一星麒麟大礼包	#Y一星麒麟大礼包#W。您将获得一星麒麟大礼包1个。请预留至少1个背包空间。	580037	1	1
39	二星麒麟大礼包	#Y二星麒麟大礼包#W。您将获得二星麒麟大礼包一个。请预留至少1个背包空间。	580038	1	1
40	三星麒麟大礼包	#Y三星麒麟大礼包#W。您将获得三星麒麟大礼包1个。请预留至少1个背包空间。	580039	1	1
41	金麒麟大礼包	#Y金麒麟大礼包#W。您将获得200两金卡。	580040	0	1
42	玉麒麟大礼包	#Y玉麒麟大礼包#W。您将获得1600两金卡。	580041	0	1
43	钻石麒麟大礼包	#Y钻石麒麟大礼包#W。您将获得12000两金卡。	580042	0	1
44	玉兔大礼包	您将获得玉兔降世符1个。玉兔为绑定坐骑。	580043	1	1
45	中秋月饼礼盒	每1份奖励将让您得到1只中秋月饼礼盒。	580044	1	250
