INT	STRING	INT	FLOAT	FLOAT	INT	INT	STRING	INT
index	属性名称	属性组id	属性效果Min(和lv有关)	属性效果Max(和lv有关)	属性效果Min	属性效果Max	部件id	权重
1	力量	0	0.58	0.83	-1	-1	7~12|20~29|41~46	400
2	力量	0	0.83	1.19	-1	-1	7~12|20~29|41~46	500
3	力量	0	1.19	1.79	-1	-1	7~12|20~29|41~46	200
4	主手力量	0	1.16	1.65	-1	-1	1~6|35~40	400
5	主手力量	0	1.65	2.39	-1	-1	1~6|35~40	500
6	主手力量	0	2.39	3.58	-1	-1	1~6|35~40	200
7	敏捷	2	0.58	0.83	-1	-1	7~12|20~29|41~46	400
8	敏捷	2	0.83	1.19	-1	-1	7~12|20~29|41~46	500
9	敏捷	2	1.19	1.79	-1	-1	7~12|20~29|41~46	200
10	主手敏捷	2	1.16	1.65	-1	-1	1~6|35~40	400
11	主手敏捷	2	1.65	2.39	-1	-1	1~6|35~40	500
12	主手敏捷	2	2.39	3.58	-1	-1	1~6|35~40	200
13	智力	4	0.58	0.83	-1	-1	7~12|20~29|41~46	400
14	智力	4	0.83	1.19	-1	-1	7~12|20~29|41~46	500
15	智力	4	1.19	1.79	-1	-1	7~12|20~29|41~46	200
16	主手智力	4	1.16	1.65	-1	-1	1~6|35~40	400
17	主手智力	4	1.65	2.39	-1	-1	1~6|35~40	500
18	主手智力	4	2.39	3.58	-1	-1	1~6|35~40	200
19	体质	6	0.42	0.59	-1	-1	1~12|20~29|35~46	400
20	体质	6	0.59	0.85	-1	-1	1~12|20~29|35~46	500
21	体质	6	0.85	1.28	-1	-1	1~12|20~29|35~46	200
22	近攻	12	0.23	0.33	-1	-1	7~12|20~29|41~46	400
23	近攻	12	0.33	0.47	-1	-1	7~12|20~29|41~46	500
24	近攻	12	0.47	0.72	-1	-1	7~12|20~29|41~46	200
25	主手近攻	12	0.46	0.66	-1	-1	1~6|35~40	400
26	主手近攻	12	0.66	0.96	-1	-1	1~6|35~40	500
27	主手近攻	12	0.96	1.43	-1	-1	1~6|35~40	200
28	远攻	14	0.23	0.33	-1	-1	7~12|20~29|41~46	400
29	远攻	14	0.33	0.47	-1	-1	7~12|20~29|41~46	500
30	远攻	14	0.47	0.72	-1	-1	7~12|20~29|41~46	200
31	主手远攻	14	0.46	0.66	-1	-1	1~6|35~40	400
32	主手远攻	14	0.66	0.96	-1	-1	1~6|35~40	500
33	主手远攻	14	0.96	1.43	-1	-1	1~6|35~40	200
34	魔攻	10	0.23	0.33	-1	-1	7~12|20~29|41~46	400
35	魔攻	10	0.33	0.47	-1	-1	7~12|20~29|41~46	500
36	魔攻	10	0.47	0.72	-1	-1	7~12|20~29|41~46	200
37	主手魔攻	10	0.46	0.66	-1	-1	1~6|35~40	400
38	主手魔攻	10	0.66	0.96	-1	-1	1~6|35~40	500
39	主手魔攻	10	0.96	1.43	-1	-1	1~6|35~40	200
40	近防	18	0.12	0.17	-1	-1	1~12|20~29|35~46	250
41	近防	18	0.17	0.24	-1	-1	1~12|20~29|35~46	500
42	近防	18	0.24	0.36	-1	-1	1~12|20~29|35~46	250
43	远防	20	0.12	0.17	-1	-1	1~12|20~29|35~46	250
44	远防	20	0.17	0.24	-1	-1	1~12|20~29|35~46	500
45	远防	20	0.24	0.36	-1	-1	1~12|20~29|35~46	250
46	魔防	16	0.12	0.17	-1	-1	1~12|20~29|35~46	250
47	魔防	16	0.17	0.24	-1	-1	1~12|20~29|35~46	500
48	魔防	16	0.24	0.36	-1	-1	1~12|20~29|35~46	250
