INT	STRING	INT	INT	INT	STRING	INT
属性表Index(无特珠意义)	属性名称	属性类别(0：基础属性；1：激活属性)	属性ID	属性值	部件	随机权重
1	力量	0	0	100	1~12|20~29|35~46	20
2	力量	0	0	80	1~12|20~29|35~46	100
3	力量	0	0	60	1~12|20~29|35~46	400
4	力量	0	0	40	1~12|20~29|35~46	700
5	力量	0	0	20	1~12|20~29|35~46	780
6	敏捷	0	2	100	1~12|20~29|35~46	20
7	敏捷	0	2	80	1~12|20~29|35~46	100
8	敏捷	0	2	60	1~12|20~29|35~46	400
9	敏捷	0	2	40	1~12|20~29|35~46	700
10	敏捷	0	2	20	1~12|20~29|35~46	780
11	智力	0	4	100	1~12|20~29|35~46	20
12	智力	0	4	80	1~12|20~29|35~46	100
13	智力	0	4	60	1~12|20~29|35~46	400
14	智力	0	4	40	1~12|20~29|35~46	700
15	智力	0	4	20	1~12|20~29|35~46	780
16	体质	0	6	100	1~12|20~29|35~46	20
17	体质	0	6	80	1~12|20~29|35~46	100
18	体质	0	6	60	1~12|20~29|35~46	400
19	体质	0	6	40	1~12|20~29|35~46	700
20	体质	0	6	20	1~12|20~29|35~46	780
21	全属	0	8	60	1~12|20~29|35~46	20
22	全属	0	8	48	1~12|20~29|35~46	100
23	全属	0	8	36	1~12|20~29|35~46	400
24	全属	0	8	24	1~12|20~29|35~46	700
25	全属	0	8	12	1~12|20~29|35~46	780
26	近攻	0	12	60	1~12|20~29|35~46	20
27	近攻	0	12	48	1~12|20~29|35~46	100
28	近攻	0	12	36	1~12|20~29|35~46	400
29	近攻	0	12	24	1~12|20~29|35~46	700
30	近攻	0	12	12	1~12|20~29|35~46	780
31	远攻	0	14	60	1~12|20~29|35~46	20
32	远攻	0	14	48	1~12|20~29|35~46	100
33	远攻	0	14	36	1~12|20~29|35~46	400
34	远攻	0	14	24	1~12|20~29|35~46	700
35	远攻	0	14	12	1~12|20~29|35~46	780
36	魔攻	0	10	60	1~12|20~29|35~46	20
37	魔攻	0	10	48	1~12|20~29|35~46	100
38	魔攻	0	10	36	1~12|20~29|35~46	400
39	魔攻	0	10	24	1~12|20~29|35~46	700
40	魔攻	0	10	12	1~12|20~29|35~46	780
41	近防	0	18	80	1~12|20~29|35~46	20
42	近防	0	18	65	1~12|20~29|35~46	100
43	近防	0	18	50	1~12|20~29|35~46	400
44	近防	0	18	35	1~12|20~29|35~46	700
45	近防	0	18	20	1~12|20~29|35~46	780
46	远防	0	20	80	1~12|20~29|35~46	20
47	远防	0	20	65	1~12|20~29|35~46	100
48	远防	0	20	50	1~12|20~29|35~46	400
49	远防	0	20	35	1~12|20~29|35~46	700
50	远防	0	20	20	1~12|20~29|35~46	780
51	魔防	0	16	80	1~12|20~29|35~46	20
52	魔防	0	16	65	1~12|20~29|35~46	100
53	魔防	0	16	50	1~12|20~29|35~46	400
54	魔防	0	16	35	1~12|20~29|35~46	700
55	魔防	0	16	20	1~12|20~29|35~46	780
56	血上限	0	22	600	1~12|20~29|35~46	20
57	血上限	0	22	480	1~12|20~29|35~46	100
58	血上限	0	22	360	1~12|20~29|35~46	400
59	血上限	0	22	240	1~12|20~29|35~46	700
60	血上限	0	22	120	1~12|20~29|35~46	780
61	暴击	1	53	3	1~12|20~29|35~46	100
62	暴击	1	53	2	1~12|20~29|35~46	400
63	暴击	1	53	1	1~12|20~29|35~46	500
64	韧性	1	54	3	1~12|20~29|35~46	100
65	韧性	1	54	2	1~12|20~29|35~46	400
66	韧性	1	54	1	1~12|20~29|35~46	500
67	命中	1	50	3	1~12|20~29|35~46	100
68	命中	1	50	2	1~12|20~29|35~46	400
69	闪避	1	51	3	1~12|20~29|35~46	100
70	闪避	1	51	2	1~12|20~29|35~46	400
71	闪避	1	51	1	1~12|20~29|35~46	500
72	暴伤	1	97	10	1~12|35~46	50
73	暴伤	1	97	8	1~12|35~46	100
74	暴伤	1	97	6	1~12|35~46	150
75	暴伤	1	97	4	1~12|35~46	100
76	暴伤	1	97	2	1~12|35~46	100
77	生命回复	1	94	100	24	50
78	怒气回复	1	38	1	24	50
79	能量回复	1	39	3	24	50
80	箭支回复	1	40	1	24	50
81	子弹回复	1	41	1	24	50
82	魔法恢复	1	42	100	24	50
83	灵力回复	1	43	100	24	50
84	移动速度	1	88	700	27	50
85	移动速度	1	88	600	27	100
86	移动速度	1	88	500	27	150
87	移动速度	1	88	400	27	100
88	移动速度	1	88	300	27	100
89	减免武士伤害	1	109	3	1~12|20~29|35~46	50
90	减免武士伤害	1	109	2	1~12|20~29|35~46	200
91	减免武士伤害	1	109	1	1~12|20~29|35~46	250
92	减免剑侠伤害	1	110	3	1~12|20~29|35~46	50
93	减免剑侠伤害	1	110	2	1~12|20~29|35~46	200
94	减免剑侠伤害	1	110	1	1~12|20~29|35~46	250
95	减免骑射手伤害	1	111	3	1~12|20~29|35~46	50
96	减免骑射手伤害	1	111	2	1~12|20~29|35~46	200
97	减免骑射手伤害	1	111	1	1~12|20~29|35~46	250
98	减免火枪手伤害	1	112	3	1~12|20~29|35~46	50
99	减免火枪手伤害	1	112	2	1~12|20~29|35~46	200
100	减免火枪手伤害	1	112	1	1~12|20~29|35~46	250
101	减免先知伤害	1	113	3	1~12|20~29|35~46	50
102	减免先知伤害	1	113	2	1~12|20~29|35~46	200
103	减免先知伤害	1	113	1	1~12|20~29|35~46	250
104	减免萨满伤害	1	114	3	1~12|20~29|35~46	50
105	减免萨满伤害	1	114	2	1~12|20~29|35~46	200
106	减免萨满伤害	1	114	1	1~12|20~29|35~46	250
107	减免十字军伤害	1	211	3	1~12|20~29|35~46	50
108	减免十字军伤害	1	211	2	1~12|20~29|35~46	200
109	减免十字军伤害	1	211	1	1~12|20~29|35~46	250
110	减免圣火使伤害	1	212	3	1~12|20~29|35~46	50
111	减免圣火使伤害	1	212	2	1~12|20~29|35~46	200
112	减免圣火使伤害	1	212	1	1~12|20~29|35~46	250
113	减免刺客伤害	1	213	3	1~12|20~29|35~46	50
114	减免刺客伤害	1	213	2	1~12|20~29|35~46	200
115	减免刺客伤害	1	213	1	1~12|20~29|35~46	250
116	减免近卫军伤害	1	214	3	1~12|20~29|35~46	50
117	减免近卫军伤害	1	214	2	1~12|20~29|35~46	200
118	减免近卫军伤害	1	214	1	1~12|20~29|35~46	250
119	减免隐修士伤害	1	215	3	1~12|20~29|35~46	50
120	减免隐修士伤害	1	215	2	1~12|20~29|35~46	200
121	减免隐修士伤害	1	215	1	1~12|20~29|35~46	250
122	减免僧侣伤害	1	216	3	1~12|20~29|35~46	50
123	减免僧侣伤害	1	216	2	1~12|20~29|35~46	200
124	减免僧侣伤害	1	216	1	1~12|20~29|35~46	250
125	近程减免	1	149	3	1~12|20~29|35~46	100
126	近程减免	1	149	2	1~12|20~29|35~46	400
127	近程减免	1	149	1	1~12|20~29|35~46	500
128	远程减免	1	150	3	1~12|20~29|35~46	100
129	远程减免	1	150	2	1~12|20~29|35~46	400
130	远程减免	1	150	1	1~12|20~29|35~46	500
131	魔法减免	1	151	3	1~12|20~29|35~46	100
132	魔法减免	1	151	2	1~12|20~29|35~46	400
133	魔法减免	1	151	1	1~12|20~29|35~46	500
134	近程反免	1	201	5	1~12|20~29|35~46	100
135	近程反免	1	201	4	1~12|20~29|35~46	200
136	近程反免	1	201	3	1~12|20~29|35~46	300
137	近程反免	1	201	2	1~12|20~29|35~46	200
138	近程反免	1	201	1	1~12|20~29|35~46	200
139	远程反免	1	202	5	1~12|20~29|35~46	100
140	远程反免	1	202	4	1~12|20~29|35~46	200
141	远程反免	1	202	3	1~12|20~29|35~46	300
142	远程反免	1	202	2	1~12|20~29|35~46	200
143	远程反免	1	202	1	1~12|20~29|35~46	200
144	魔法反免	1	203	5	1~12|20~29|35~46	100
145	魔法反免	1	203	4	1~12|20~29|35~46	200
146	魔法反免	1	203	3	1~12|20~29|35~46	300
147	魔法反免	1	203	2	1~12|20~29|35~46	200
148	魔法反免	1	203	1	1~12|20~29|35~46	200
149	三系减免	1	163	2	1~12|20~29|35~46	10
150	三系减免	1	163	1	1~12|20~29|35~46	90
151	增加经验获得	1	115	3	28	20
152	增加经验获得	1	115	2	28	80
153	增加经验获得	1	115	1	28	100
154	增强对武士伤害	1	225	3	1~12|20~29|35~46	50
155	增强对武士伤害	1	225	2	1~12|20~29|35~46	200
156	增强对武士伤害	1	225	1	1~12|20~29|35~46	250
157	增强对剑侠伤害	1	226	3	1~12|20~29|35~46	50
158	增强对剑侠伤害	1	226	2	1~12|20~29|35~46	200
159	增强对剑侠伤害	1	226	1	1~12|20~29|35~46	250
160	增强对骑射手伤害	1	227	3	1~12|20~29|35~46	50
161	增强对骑射手伤害	1	227	2	1~12|20~29|35~46	200
162	增强对骑射手伤害	1	227	1	1~12|20~29|35~46	250
163	增强对火枪手伤害	1	228	3	1~12|20~29|35~46	50
164	增强对火枪手伤害	1	228	2	1~12|20~29|35~46	200
165	增强对火枪手伤害	1	228	1	1~12|20~29|35~46	250
166	增强对先知伤害	1	229	3	1~12|20~29|35~46	50
167	增强对先知伤害	1	229	2	1~12|20~29|35~46	200
168	增强对先知伤害	1	229	1	1~12|20~29|35~46	250
