INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
ÐòÒý	½Å±¾	±ê¼ÇMONSTER=0 BOSS=1	ÄÚ²¿Ë÷Òý±ê¼Ç	×îÐ¡¼¶±ð	×î´ó¼¶±ð	Ãû³Æ	±êÌâ	typeid	GUID	x	z	r	ai	aiscript	flag0	flag1	flag2	flag3	´´½¨ÊýÁ¿	³¯Ïò	Ñ°Â·ID	ÕóÓª
0	700001	0	0	65	69	¾ûÒ¤³¡´óÃÅ		26239	150538	128	128	0	7	-1	0	0	0	0	0	18	0	24
1	700001	0	1	70	74	¾ûÒ¤³¡´óÃÅ		26240	150538	128	128	0	7	-1	0	0	0	0	0	18	0	24
2	700001	0	2	75	79	¾ûÒ¤³¡´óÃÅ		26241	150538	128	128	0	7	-1	0	0	0	0	0	18	0	24
3	700001	0	3	80	84	¾ûÒ¤³¡´óÃÅ		26242	150538	128	128	0	7	-1	0	0	0	0	0	18	0	24
4	700001	0	4	85	89	¾ûÒ¤³¡´óÃÅ		26243	150538	128	128	0	7	-1	0	0	0	0	0	18	0	24
5	700001	0	5	90	94	¾ûÒ¤³¡´óÃÅ		26244	150538	128	128	0	7	-1	0	0	0	0	0	18	0	24
6	700001	0	6	95	99	¾ûÒ¤³¡´óÃÅ		26245	150538	128	128	0	7	-1	0	0	0	0	0	18	0	24
7	700001	0	7	100	104	¾ûÒ¤³¡´óÃÅ		44130	150538	128	128	0	7	-1	0	0	0	0	0	18	0	24
8	700001	0	8	105	109	¾ûÒ¤³¡´óÃÅ		44131	150538	128	128	0	7	-1	0	0	0	0	0	18	0	24
9	700001	0	9	110	114	¾ûÒ¤³¡´óÃÅ		44132	150538	128	128	0	7	-1	0	0	0	0	0	18	0	24
10	700001	0	10	115	119	¾ûÒ¤³¡´óÃÅ		44133	150538	128	128	0	7	-1	0	0	0	0	0	18	0	24
11	700001	0	11	120	124	¾ûÒ¤³¡´óÃÅ		44134	150538	128	128	0	7	-1	0	0	0	0	0	18	0	24
12	700001	0	12	125	129	¾ûÒ¤³¡´óÃÅ		44135	150538	128	128	0	7	-1	0	0	0	0	0	18	0	24
13	700001	0	13	130	134	¾ûÒ¤³¡´óÃÅ		44136	150538	128	128	0	7	-1	0	0	0	0	0	18	0	24
14	700001	0	14	135	139	¾ûÒ¤³¡´óÃÅ		44137	150538	128	128	0	7	-1	0	0	0	0	0	18	0	24
15	700001	0	15	140	144	¾ûÒ¤³¡´óÃÅ		44138	150538	128	128	0	7	-1	0	0	0	0	0	18	0	24
16	700001	0	16	145	149	¾ûÒ¤³¡´óÃÅ		44139	150538	128	128	0	7	-1	0	0	0	0	0	18	0	24
17	700001	0	17	150	154	¾ûÒ¤³¡´óÃÅ		44140	150538	128	128	0	7	-1	0	0	0	0	0	18	0	24
18	700001	0	18	155	161	¾ûÒ¤³¡´óÃÅ		44141	150538	128	128	0	7	-1	0	0	0	0	0	18	0	24
19	700001	1	19	65	69	ÉÕºìboss1		26250	-1	127	54	0	9	623	0	0	0	0	0	0	0	21
20	700001	1	20	70	74	ÉÕºìboss1		26251	-1	127	54	0	9	623	0	0	0	0	0	0	0	21
