INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
索引	0：启用日期 1：启用星期 2：日期与星期同时有效 3：日期与星期同时失效 	日期	星期	报名起始时间	报名结束时间	帮战开始时间	帮战结束时间	脚本ID	"类型，0：帮战，1：国王争夺战,[2、3、4、5]：帮会争霸赛,6：小国战,7:2V2战场,8:6V6战场,9:朱雀战场 10:青龙战场 11:据点战场"	参数0	参数1	参数2	参数3	参数4
0	3	0	2	1700	1829	2000	2019	300643	0	0	0	0	0	0
1	3	0	5	1700	1829	2000	2019	300643	0	0	0	0	0	0
2	3	0	0	1400	1700	2000	2019	300813	1	1	1	1	1	1
3	1	0	0	1400	1557	1600	1630	300615	2	0	0	0	0	0
4	1	0	0	0	1557	1600	1630	300615	3	0	0	0	0	0
5	1	0	0	0	1557	1600	1630	300615	4	0	0	0	0	0
6	1	0	0	0	1557	1600	1630	300615	5	0	0	0	0	0
7	1	0	6	0	0	2000	2100	310150	6	0	0	0	0	0
8	1	0	0	1355	1559	1400	1603	303001	7	0	0	0	0	0
9	1	0	1	1955	2029	2000	2033	303001	7	0	0	0	0	0
10	1	0	4	1955	2029	2000	2033	303001	7	0	0	0	0	0
11	1	0	3	1930	1959	2000	2100	303006	8	0	0	0	0	0
12	1	0	6	1330	1359	1400	1500	303006	8	0	0	0	0	0
13	1	0	0	2025	2039	2040	2100	-1	9	0	0	0	0	0
14	1	0	0	2025	2039	2040	2100	-1	10	0	0	0	0	0
15	3	0	6	1259	1459	1559	1659	-1	11	0	0	0	0	0
16	3	0	1	1400	1700	2000	2019	300813	1	0	0	0	0	0
17	3	0	2	1400	1700	2000	2019	300813	1	0	0	0	0	0
18	3	0	3	1400	1700	2000	2019	300813	1	0	0	0	0	0
19	3	0	4	1400	1700	2000	2019	300813	1	0	0	0	0	0
20	3	0	5	1400	1700	2000	2019	300813	1	0	0	0	0	0
21	3	0	6	1400	1700	2000	2019	300813	1	0	0	0	0	0
