INT	STRING	INT	STRING	STRING	STRING	STRING	STRING	STRING
ID	题目(文字)	答案	备选0(图)	备选1(图)	备选2(图)	备选3(图)	备选4(图)	备选5(图)
0	请找出边框颜色与其它不一样的图标	0	set:UI_Logon_6 image:UI_Logon_6_81	set:UI_Logon_6 image:UI_Logon_6_12	set:UI_Logon_6 image:UI_Logon_6_13	set:UI_Logon_6 image:UI_Logon_6_14	set:UI_Logon_6 image:UI_Logon_6_15	set:UI_Logon_6 image:UI_Logon_6_16
1	请找出边框颜色与其它不一样的图标	1	set:UI_Logon_6 image:UI_Logon_6_12	set:UI_Logon_6 image:UI_Logon_6_82	set:UI_Logon_6 image:UI_Logon_6_14	set:UI_Logon_6 image:UI_Logon_6_15	set:UI_Logon_6 image:UI_Logon_6_16	set:UI_Logon_6 image:UI_Logon_6_17
2	请找出边框颜色与其它不一样的图标	2	set:UI_Logon_6 image:UI_Logon_6_13	set:UI_Logon_6 image:UI_Logon_6_14	set:UI_Logon_6 image:UI_Logon_6_83	set:UI_Logon_6 image:UI_Logon_6_16	set:UI_Logon_6 image:UI_Logon_6_17	set:UI_Logon_6 image:UI_Logon_6_18
3	请找出边框颜色与其它不一样的图标	3	set:UI_Logon_6 image:UI_Logon_6_14	set:UI_Logon_6 image:UI_Logon_6_15	set:UI_Logon_6 image:UI_Logon_6_16	set:UI_Logon_6 image:UI_Logon_6_84	set:UI_Logon_6 image:UI_Logon_6_18	set:UI_Logon_6 image:UI_Logon_6_11
4	请找出边框颜色与其它不一样的图标	4	set:UI_Logon_6 image:UI_Logon_6_15	set:UI_Logon_6 image:UI_Logon_6_16	set:UI_Logon_6 image:UI_Logon_6_17	set:UI_Logon_6 image:UI_Logon_6_18	set:UI_Logon_6 image:UI_Logon_6_85	set:UI_Logon_6 image:UI_Logon_6_12
5	请找出边框颜色与其它不一样的图标	5	set:UI_Logon_6 image:UI_Logon_6_16	set:UI_Logon_6 image:UI_Logon_6_17	set:UI_Logon_6 image:UI_Logon_6_18	set:UI_Logon_6 image:UI_Logon_6_11	set:UI_Logon_6 image:UI_Logon_6_12	set:UI_Logon_6 image:UI_Logon_6_91
6	请找出边框颜色与其它不一样的图标	4	set:UI_Logon_6 image:UI_Logon_6_17	set:UI_Logon_6 image:UI_Logon_6_18	set:UI_Logon_6 image:UI_Logon_6_11	set:UI_Logon_6 image:UI_Logon_6_12	set:UI_Logon_6 image:UI_Logon_6_92	set:UI_Logon_6 image:UI_Logon_6_14
7	请找出边框颜色与其它不一样的图标	3	set:UI_Logon_6 image:UI_Logon_6_18	set:UI_Logon_6 image:UI_Logon_6_11	set:UI_Logon_6 image:UI_Logon_6_12	set:UI_Logon_6 image:UI_Logon_6_93	set:UI_Logon_6 image:UI_Logon_6_14	set:UI_Logon_6 image:UI_Logon_6_15
8	请找出边框颜色与其它不一样的图标	2	set:UI_Logon_6 image:UI_Logon_6_11	set:UI_Logon_6 image:UI_Logon_6_12	set:UI_Logon_6 image:UI_Logon_6_94	set:UI_Logon_6 image:UI_Logon_6_14	set:UI_Logon_6 image:UI_Logon_6_15	set:UI_Logon_6 image:UI_Logon_6_16
9	请找出边框颜色与其它不一样的图标	1	set:UI_Logon_6 image:UI_Logon_6_12	set:UI_Logon_6 image:UI_Logon_6_95	set:UI_Logon_6 image:UI_Logon_6_14	set:UI_Logon_6 image:UI_Logon_6_15	set:UI_Logon_6 image:UI_Logon_6_16	set:UI_Logon_6 image:UI_Logon_6_17
10	请找出边框颜色与其它不一样的图标	0	set:UI_Logon_6 image:UI_Logon_6_81	set:UI_Logon_6 image:UI_Logon_6_22	set:UI_Logon_6 image:UI_Logon_6_23	set:UI_Logon_6 image:UI_Logon_6_24	set:UI_Logon_6 image:UI_Logon_6_25	set:UI_Logon_6 image:UI_Logon_6_26
11	请找出边框颜色与其它不一样的图标	1	set:UI_Logon_6 image:UI_Logon_6_22	set:UI_Logon_6 image:UI_Logon_6_82	set:UI_Logon_6 image:UI_Logon_6_24	set:UI_Logon_6 image:UI_Logon_6_25	set:UI_Logon_6 image:UI_Logon_6_26	set:UI_Logon_6 image:UI_Logon_6_27
12	请找出边框颜色与其它不一样的图标	2	set:UI_Logon_6 image:UI_Logon_6_23	set:UI_Logon_6 image:UI_Logon_6_24	set:UI_Logon_6 image:UI_Logon_6_83	set:UI_Logon_6 image:UI_Logon_6_26	set:UI_Logon_6 image:UI_Logon_6_27	set:UI_Logon_6 image:UI_Logon_6_28
