INT	INT	INT	INT	INT	INT	INT	INT	INT
ID	耐久下限	耐久上限	背包掉落下限	背包掉落上限	身上掉落下限	身上掉落上限	被杀人荣誉值变化值	杀手荣誉值变化值
0	20	30	0	0	0	0	0	0
1	15	25	0	0	0	0	0	0
2	15	25	0	0	0	0	0	0
3	10	20	0	0	0	0	0	0
4	10	20	0	0	0	0	0	0
5	5	10	0	0	0	0	0	0
6	5	10	0	0	0	0	0	0
7	3	10	0	0	0	0	0	0
8	2	5	0	0	0	0	0	0
9	1	2	0	0	0	0	0	0
10	1	2	0	0	0	0	0	0
11	1	2	0	0	0	0	0	0
12	1	2	0	0	0	0	0	0
13	1	2	0	0	0	0	0	0
14	1	2	0	0	0	0	0	0
15	1	2	0	0	0	0	0	0
16	0	2	0	0	0	0	0	0
17	1	2	0	0	0	0	0	0
18	2	5	0	0	0	0	0	0
19	3	10	0	0	0	0	0	0
20	5	10	0	0	0	0	0	0
21	5	10	0	0	0	0	0	0
22	10	20	0	0	0	0	0	0
23	10	20	0	0	0	0	0	0
24	15	25	0	0	0	0	0	0
25	15	25	0	0	0	0	0	0
26	15	25	0	0	0	0	0	0
27	15	25	0	0	0	0	0	0
28	15	25	0	0	0	0	0	0
29	15	25	0	0	0	0	0	0
30	15	25	0	0	0	0	0	0
31	15	25	0	0	0	0	0	0
