INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
序号	国家ID	职业ID	起始场景ID	出生X坐标	出生Y坐标	初始阵营	初始等级	初始经验	初始生命	初始魔法(以后要改成怒气)	初始力量	初始体质	初始智力	初始敏捷	初始战斗技能1	初始战斗技能2	初始战斗技能3	初始战斗技能4	初始战斗技能5	初始生活技能1	初始生活技能2	初始生活技能3	初始生活技能4	初始生活技能5	初始金钱
0	0	0	87	199	75	0	1	0	171	100	5	6	2	3	31	11	12	13	16	26	-1	-1	-1	-1	0
1	0	1	87	199	75	0	1	0	97	100	7	4	2	3	32	11	12	13	16	26	-1	-1	-1	-1	0
2	0	2	87	199	75	0	1	0	101	8	3	4	3	5	33	11	12	13	16	26	-1	-1	-1	-1	0
3	0	3	87	199	75	0	1	0	102	6	3	3	4	5	34	11	12	13	16	26	-1	-1	-1	-1	0
4	0	4	87	199	75	0	1	0	85	204	2	4	6	3	35	11	12	13	16	26	-1	-1	-1	-1	0
5	0	5	87	199	75	0	1	0	131	187	2	6	5	3	36	11	12	13	16	26	-1	-1	-1	-1	0
6	0	6	87	199	75	0	1	0	171	100	5	6	2	3	4	11	12	13	16	26	-1	-1	-1	-1	0
7	0	7	87	199	75	0	1	0	97	100	7	4	2	3	5	11	12	13	16	26	-1	-1	-1	-1	0
8	0	8	87	199	75	0	1	0	101	8	3	4	3	5	6	11	12	13	16	26	-1	-1	-1	-1	0
9	0	9	87	199	75	0	1	0	102	6	3	3	4	5	7	11	12	13	16	26	-1	-1	-1	-1	0
10	0	10	87	199	75	0	1	0	85	204	2	4	6	3	8	11	12	13	16	26	-1	-1	-1	-1	0
11	0	11	87	199	75	0	1	0	131	187	2	6	5	3	9	11	12	13	16	26	-1	-1	-1	-1	0
12	1	0	187	55	81	1	1	0	171	100	5	6	2	3	31	11	12	13	16	26	-1	-1	-1	-1	0
13	1	1	187	55	81	1	1	0	97	100	7	4	2	3	32	11	12	13	16	26	-1	-1	-1	-1	0
14	1	2	187	55	81	1	1	0	101	8	3	4	3	5	33	11	12	13	16	26	-1	-1	-1	-1	0
15	1	3	187	55	81	1	1	0	102	6	3	3	4	5	34	11	12	13	16	26	-1	-1	-1	-1	0
16	1	4	187	55	81	1	1	0	85	204	2	4	6	3	35	11	12	13	16	26	-1	-1	-1	-1	0
17	1	5	187	55	81	1	1	0	131	187	2	6	5	3	36	11	12	13	16	26	-1	-1	-1	-1	0
18	1	6	187	55	81	1	1	0	171	100	5	6	2	3	4	11	12	13	16	26	-1	-1	-1	-1	0
19	1	7	187	55	81	1	1	0	97	100	7	4	2	3	5	11	12	13	16	26	-1	-1	-1	-1	0
20	1	8	187	55	81	1	1	0	101	8	3	4	3	5	6	11	12	13	16	26	-1	-1	-1	-1	0
21	1	9	187	55	81	1	1	0	102	6	3	3	4	5	7	11	12	13	16	26	-1	-1	-1	-1	0
22	1	10	187	55	81	1	1	0	85	204	2	4	6	3	8	11	12	13	16	26	-1	-1	-1	-1	0
23	1	11	187	55	81	1	1	0	131	187	2	6	5	3	9	11	12	13	16	26	-1	-1	-1	-1	0
24	2	0	287	45	211	2	1	0	171	100	5	6	2	3	31	11	12	13	16	26	-1	-1	-1	-1	0
25	2	1	287	45	211	2	1	0	97	100	7	4	2	3	32	11	12	13	16	26	-1	-1	-1	-1	0
26	2	2	287	45	211	2	1	0	101	8	3	4	3	5	33	11	12	13	16	26	-1	-1	-1	-1	0
27	2	3	287	45	211	2	1	0	102	6	3	3	4	5	34	11	12	13	16	26	-1	-1	-1	-1	0
28	2	4	287	45	211	2	1	0	85	204	2	4	6	3	35	11	12	13	16	26	-1	-1	-1	-1	0
29	2	5	287	45	211	2	1	0	131	187	2	6	5	3	36	11	12	13	16	26	-1	-1	-1	-1	0
30	2	6	287	45	211	2	1	0	171	100	5	6	2	3	4	11	12	13	16	26	-1	-1	-1	-1	0
31	2	7	287	45	211	2	1	0	97	100	7	4	2	3	5	11	12	13	16	26	-1	-1	-1	-1	0
32	2	8	287	45	211	2	1	0	101	8	3	4	3	5	6	11	12	13	16	26	-1	-1	-1	-1	0
33	2	9	287	45	211	2	1	0	102	6	3	3	4	5	7	11	12	13	16	26	-1	-1	-1	-1	0
34	2	10	287	45	211	2	1	0	85	204	2	4	6	3	8	11	12	13	16	26	-1	-1	-1	-1	0
35	2	11	287	45	211	2	1	0	131	187	2	6	5	3	9	11	12	13	16	26	-1	-1	-1	-1	0
36	3	0	387	214	204	3	1	0	171	100	5	6	2	3	31	11	12	13	16	26	-1	-1	-1	-1	0
37	3	1	387	214	204	3	1	0	97	100	7	4	2	3	32	11	12	13	16	26	-1	-1	-1	-1	0
38	3	2	387	214	204	3	1	0	101	8	3	4	3	5	33	11	12	13	16	26	-1	-1	-1	-1	0
39	3	3	387	214	204	3	1	0	102	6	3	3	4	5	34	11	12	13	16	26	-1	-1	-1	-1	0
40	3	4	387	214	204	3	1	0	85	204	2	4	6	3	35	11	12	13	16	26	-1	-1	-1	-1	0
41	3	5	387	214	204	3	1	0	131	187	2	6	5	3	36	11	12	13	16	26	-1	-1	-1	-1	0
42	3	6	387	214	204	3	1	0	171	100	5	6	2	3	4	11	12	13	16	26	-1	-1	-1	-1	0
43	3	7	387	214	204	3	1	0	97	100	7	4	2	3	5	11	12	13	16	26	-1	-1	-1	-1	0
44	3	8	387	214	204	3	1	0	101	8	3	4	3	5	6	11	12	13	16	26	-1	-1	-1	-1	0
45	3	9	387	214	204	3	1	0	102	6	3	3	4	5	7	11	12	13	16	26	-1	-1	-1	-1	0
46	3	10	387	214	204	3	1	0	85	204	2	4	6	3	8	11	12	13	16	26	-1	-1	-1	-1	0
47	3	11	387	214	204	3	1	0	131	187	2	6	5	3	9	11	12	13	16	26	-1	-1	-1	-1	0
