INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	STRING
index	name	scriptid（填了脚本号后边ruler最好不要填2）	opt_type（为1的时候time_type也为1，表示每天都触发；为0的时候，time_type为2，表示限定某一天触发）	time_type	Report_start	Report_over	time_start	time_over	reserve1是否随机	reserve1	reserve2	reserve3	reserve4	reserve5	广播类型	慢报间隔	慢报内容	慢报结束时间点	快报间隔	快报内容	快报结束时间点	刚开报间隔	刚开报内容	刚开报结束时间点	进行中报间隔	进行中报内容	进行中报结束时间点	快结束报间隔	快结束报内容	快结束报结束时间点	ruler（0表示读取后边Map0——Map9列和广播的场景列表列，可多场景响应；-1表示只读取SceneId列，只一个场景响应；-2表示所有场景都响应，一般用于纯广播，和脚本无关时使用）	SceneId	Map_0	Map_1	Map_2	Map_3	Map_4	Map_5	Map_6	Map_7	Map_8	Map_9	ModuleToggle	播放类型 (0:普通场景 1：战场 2:普通场景和战场)	广播的场景列表，支持解析|，最大支持36个场景，默认为空
0	轮回台副本	-1	1	1	1120	1330	-1	-1	0	0	-1	-1	-1	-1	4|1	601	轮回台遗迹内传来阵阵的轰鸣。满30级的玩家可组队前往!	1130	1800	随着轮回台遗迹内传来阵阵的轰鸣，王国的记忆之门竟有崩溃的迹象！各位勇士速去轮回台内一探究竟。	1400	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
1	轮回台副本	-1	1	1	2020	2230	-1	-1	0	0	-1	-1	-1	-1	4|1	601	轮回台遗迹内传来阵阵的轰鸣。满30级的玩家可组队前往!	2030	1800	随着轮回台遗迹内传来阵阵的轰鸣，王国的记忆之门竟有崩溃的迹象！各位勇士速去轮回台内一探究竟。	2359	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
2	轮回台副本	-1	1	1	1130	1131	-1	-1	0	0	-1	-1	-1	-1	5	61	轮回台遗迹的入口打开了！	1131	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
3	轮回台副本	-1	1	1	2030	2031	-1	-1	0	0	-1	-1	-1	-1	5	61	轮回台遗迹的入口打开了！	2031	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
4	圣山地宫预报	310030	1	1	150	204	200	201	0	0	-1	-1	-1	-1	4|1	120	圣山地宫在02：00开放，请各位勇士速速前往！	159	60	圣山地宫已经开放，请各位勇士速速前往！	201	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	83|84|85|96|97|183|184|185|196|197|283|284|285|296|297|383|384|385|396|397|79|179|279|379|95|195|295|395|112|113|212|213|312|313|412|413
5	圣山地宫结束	310032	1	1	220	229	225	226	0	0	-1	-1	-1	-1	4|1	61	圣山地宫关闭了，感谢各位勇士的努力！	221	-1		-1	-1		-1	-1		-1	-1		-1	0	0	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	50|150|250|350
6	圣山地宫预报	310030	1	1	550	604	600	601	0	0	-1	-1	-1	-1	4|1	120	圣山地宫将在06：00开放，请各位勇士速速前往！	559	60	圣山地宫已经开放，请各位勇士速速前往！	601	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	83|84|85|96|97|183|184|185|196|197|283|284|285|296|297|383|384|385|396|397|79|179|279|379|95|195|295|395|112|113|212|213|312|313|412|413
7	圣山地宫结束	310032	1	1	620	629	625	626	0	0	-1	-1	-1	-1	4|1	61	圣山地宫关闭了，感谢各位勇士的努力！	621	-1		-1	-1		-1	-1		-1	-1		-1	0	0	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	50|150|250|350
8	圣山地宫预报	310030	1	1	950	1004	1000	1001	0	0	-1	-1	-1	-1	4|1	120	圣山地宫将在10：00开放，请各位勇士速速前往！	959	60	圣山地宫已经开放，请各位勇士速速前往！	1001	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	83|84|85|96|97|183|184|185|196|197|283|284|285|296|297|383|384|385|396|397|79|179|279|379|95|195|295|395|112|113|212|213|312|313|412|413
9	圣山地宫结束	310032	1	1	1020	1029	1025	1026	0	0	-1	-1	-1	-1	4|1	61	圣山地宫关闭了，感谢各位勇士的努力！	1021	-1		-1	-1		-1	-1		-1	-1		-1	0	0	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	50|150|250|350
10	圣山地宫预报	310030	1	1	1350	1404	1400	1401	0	0	-1	-1	-1	-1	4|1	120	圣山地宫将在14：00开放，请各位勇士速速前往！	1359	60	圣山地宫已经开放，请各位勇士速速前往！	1401	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	83|84|85|96|97|183|184|185|196|197|283|284|285|296|297|383|384|385|396|397|79|179|279|379|95|195|295|395|112|113|212|213|312|313|412|413
11	圣山地宫结束	310032	1	1	1420	1429	1425	1426	0	0	-1	-1	-1	-1	4|1	61	圣山地宫关闭了，感谢各位勇士的努力！	1421	-1		-1	-1		-1	-1		-1	-1		-1	0	0	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	50|150|250|350
12	圣山地宫预报	310030	1	1	1750	1804	1800	1801	0	0	-1	-1	-1	-1	4|1	120	圣山地宫将在18：00开放，请各位勇士速速前往！	1759	60	圣山地宫已经开放，请各位勇士速速前往！	1801	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	83|84|85|96|97|183|184|185|196|197|283|284|285|296|297|383|384|385|396|397|79|179|279|379|95|195|295|395|112|113|212|213|312|313|412|413
13	圣山地宫结束	310032	1	1	1820	1829	1825	1826	0	0	-1	-1	-1	-1	4|1	61	圣山地宫关闭了，感谢各位勇士的努力！	1821	-1		-1	-1		-1	-1		-1	-1		-1	0	0	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	50|150|250|350
14	圣山地宫预报	310030	1	1	2150	2204	2200	2201	0	0	-1	-1	-1	-1	4|1	120	圣山地宫将在22：00开放，请各位勇士速速前往！	2159	60	圣山地宫已经开放，请各位勇士速速前往！	2201	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	83|84|85|96|97|183|184|185|196|197|283|284|285|296|297|383|384|385|396|397|79|179|279|379|95|195|295|395|112|113|212|213|312|313|412|413
15	圣山地宫结束	310032	1	1	2220	2229	2225	2226	0	0	-1	-1	-1	-1	4|1	61	圣山地宫关闭了，感谢各位勇士的努力！	2221	-1		-1	-1		-1	-1		-1	-1		-1	-1	0	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
16	圣山地宫预报	-1	1	1	155	156	-1	-1	0	0	-1	-1	-1	-1	4|1	61	圣山地宫将在02：00开放，请各位勇士速速前往！	156	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
17	圣山地宫预报	-1	1	1	555	556	-1	-1	0	0	-1	-1	-1	-1	4|1	61	圣山地宫将在06：00开放，请各位勇士速速前往！	556	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
18	圣山地宫预报	-1	1	1	955	956	-1	-1	0	0	-1	-1	-1	-1	4|1	61	圣山地宫将在10：00开放，请各位勇士速速前往！	956	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
19	圣山地宫预报	-1	1	1	1355	1356	-1	-1	0	0	-1	-1	-1	-1	4|1	61	圣山地宫将在14：00开放，请各位勇士速速前往！	1356	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
20	圣山地宫预报	-1	1	1	1755	1756	-1	-1	0	0	-1	-1	-1	-1	4|1	61	圣山地宫将在18：00开放，请各位勇士速速前往！	1756	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
21	圣山地宫预报	-1	1	1	2155	2156	-1	-1	0	0	-1	-1	-1	-1	4|1	61	圣山地宫将在22：00开放，请各位勇士速速前往！	2156	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
22	粮仓随机BOSS	305030	1	1	0	1	0	1	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	87|4	187|3	287|2	387|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0	0	
23	婆罗洲随机BOSS	305012	1	1	400	401	400	401	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1	33	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0	0	
24	婆罗洲随机BOSS	305012	1	1	800	801	800	801	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1	33	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0	0	
25	婆罗洲随机BOSS	305012	1	1	1200	1201	1200	1201	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1	33	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0	0	
26	婆罗洲随机BOSS	305012	1	1	1600	1601	1600	1601	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1	33	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0	0	
27	婆罗洲随机BOSS	305012	1	1	2000	2001	2000	2001	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1	33	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0	0	
28	大都嘉年华会公告	-1	1	1	1920	0	1920	0	0	0	-1	-1	-1	-1	4|1	541	大都嘉年华会即将在19：30开始，40级以上的玩家可以前往大都参加铁人三项，大都灯谜会，益者三友活动。	1929	60	大都嘉年华会即将在19：30开始，40级以上的玩家可以前往大都参加铁人三项，大都灯谜会，益者三友活动。	1931	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
29	大都嘉年华会公告	-1	1	1	1930	1931	-1	-1	0	0	-1	-1	-1	-1	5	61	大都嘉年华会开始了	1931	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
30	大都嘉年华会结束公告	-1	1	1	0	1	0	1	0	0	-1	-1	-1	-1	4|1	61	大都嘉年华会结束了，祝大家午夜愉快。	1	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
