INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	STRING	STRING	INT
排行榜ID	排行榜名	"排名数量，取值范围[0,100]。"	允许进入排行榜的最小等级	是否存数据库，0不存，1存	排行榜类型 0：个人， 1：帮会， 2：国家， 3：个人备份， 4：帮会备份， 5：国家备份	对应的备份榜ID，-1表示不存在备份榜，-2表示本身就是备份榜	排行榜说明	奖励类型8=钱（现银） 9=物品	奖励内容（物品ID或钱类型）	奖励数量	奖励描述1 	奖励描述2 	重置规则(0:不重置 1:每天重置 2:每周重置)
0	等级	100	20	1	0	1	该榜收录大于20级，等级最高的100名。	-1					0
1	上周等级	100	20	1	3	-2	该榜收录上周大于20级，等级最高的100名。	-1					0
2	财富	100	20000	1	0	3	该榜收录大于20两现银，现银最多的100名。	-1					0
3	上周财富	100	20000	1	3	-2	该榜收录上周大于20两现银，现银最多的100名。	-1					0
4	荣誉	100	1000	1	0	5	该榜收录大于1000点荣誉，荣誉最多的100名。	-1					0
5	上周荣誉	100	1000	1	3	-2	该榜收录上周大于1000点荣誉，荣誉最多的100名。	-1					0
6	声望	100	1000	1	0	7	该榜收录大于1000点声望，声望最多的100名。	-1					0
7	上周声望	100	1000	1	3	-2	该榜收录上周大于1000点声望，声望最多的100名。	-1					0
8	帮贡	100	500	1	0	9	该榜收录大于500点帮贡，帮贡最多的100名。	-1					0
9	上周帮贡	100	500	1	3	-2	该榜收录上周大于500点帮贡，帮贡最多的100名。	-1					0
10	魅力	100	500	1	0	11	该榜收录大于500点魅力，魅力最多的100名。	-1					0
11	上周魅力	100	500	1	3	-2	该榜收录上周大于500点魅力，魅力最多的100名。	-1					0
12	红名	100	20	1	0	13	该榜收录大于20点PK值，PK值最多的100名。	-1					0
13	上周红名	100	20	1	3	-2	该榜收录上周大于20点PK值，PK值最多的100名。	-1					0
14	杀敌	100	1	1	0	15	该榜收录本周异国有效杀敌数最多的100名。	-1					2
15	上周杀敌	100	1	1	3	-2	该榜收录上周异国有效杀敌数最多的100名。	-1					0
16	战场等级	100	501	1	0	17	该榜收录战场等级最高的100名。	-1					2
17	上周战场等级	100	501	1	3	-2	该榜收录上周战场等级最高的100名。	-1					0
18	战场积分	100	1	1	0	19	该榜收录战场积分最高的100名。	-1					0
19	上周战场积分	100	1	1	3	-2	该榜收录上周战场积分最高的100名。	-1					0
20	帮会实力	100	500	0	1	21	帮会实力500点以上的帮会中，实力最高的100名。	-1					0
21	上周帮会实力	100	500	1	4	-2	上周帮会实力500点以上的帮会中，实力最高的100名。	-1					0
22	帮会积分	40	0	0	1	23	该榜收录帮会积分排名前40名的帮会。	-1					0
23	上周帮会积分	40	0	1	4	-2	该榜收录上周帮会积分排名前40名的帮会。	-1					0
24	帮会世界杯A组	8	-1	0	1	-1	帮会世界杯A组排名	-1					0
25	帮会世界杯B组	16	-1	0	1	-1	帮会世界杯B组排名	-1					0
26	国家实力	4	0	1	2	27	国家实力排行榜，国家综合实力的体现。	-1					0
27	上周国家实力	4	0	1	2	-1	国家实力排行榜，国家综合实力的体现。	-1					0
28	帮会功德	100	0	1	0	29	该榜收录帮会功德最高的前100名玩家	-1					0
29	上周帮会功德	100	0	1	3	-2	该榜收录上周帮会功德最高的前100名玩家	-1					0
30	玫瑰	100	0	1	0	31	该榜收录本周获得“玫瑰花”最多的前100名玩家。	-1					2
31	上周玫瑰	100	0	1	3	-2	该榜收录上周获得“玫瑰花”最多的前100名玩家。	-1					0
32	恩爱	100	1	1	0	33	该榜收录与配偶的友好度最高的前100名玩家。	-1					0
33	上周恩爱	100	1	1	3	-2	该榜收录上周与配偶的友好度最高的前100名玩家。	-1					0
34	名师	100	0	1	0	35	该榜收录徒弟出师最多的前100名玩家。	-1					0
35	上周名师	100	0	1	3	-2	该榜收录上周徒弟出师最多的前100名玩家。	-1					0
36	智力竞赛	100	0	1	0	37	该榜收录本周智力竞赛活动总分最高的前100名玩家。	-1					2
37	上周智力竞赛	100	0	1	3	-2	该榜收录上周智力竞赛活动总分最高的前100名玩家。	-1					0
38	铁人三项	100	0	1	0	39	该榜收录今日最先完成铁人三项的前100名玩家。	-1					0
39	昨日铁人三项	100	0	1	3	-2	该榜收录昨日最先完成铁人三项的前100名玩家。	-1					0
40	乌龙词典	100	0	1	0	41	该榜收录本周乌龙词典排名最高的前30名玩家。	-1					0
41	上周乌龙词典	100	0	1	3	-2	该榜收录上周乌龙词典排名最高的前30名玩家。	-1					0
42	神龙宝藏	100	0	1	0	43	该榜收录本周使用“神龙藏宝图”次数最多的前100名玩家。	-1					2
43	上周神龙宝藏	100	0	1	3	-2	该榜收录上周使用“神龙藏宝图”次数最多的前100名玩家。	-1					0
44	屠龙	100	0	1	0	45	该榜收录本周杀死天龙之魂次数最多的前100名玩家。	-1					2
45	上周屠龙	100	0	1	3	-2	该榜收录上周杀死天龙之魂次数最多的前100名玩家。	-1					0
46	小喇叭	100	0	1	0	47	该榜收录本周小喇叭使用数量最多的前100名玩家。	-1					2
47	上周小喇叭	100	0	1	3	-2	该榜收录上周小喇叭使用数量最多的前100名玩家。	-1					0
