INT	FLOAT	FLOAT
±àºÅ	X	Z
0	0	0
1	2	0
2	2	2
3	0	2
4	-2	2
5	-2	0
6	-2	-2
7	0	-2
8	2	-2
9	4	-2
10	4	0
11	4	2
12	4	4
13	2	4
14	0	4
15	-2	4
16	-4	4
17	-4	2
18	-4	0
19	-4	-2
20	-4	-4
21	-2	-4
22	0	-4
23	2	-4
24	4	-4
25	6	-4
26	6	-2
27	6	0
28	6	2
29	6	4
30	6	6
31	4	6
32	2	6
33	0	6
34	-2	6
35	-4	6
36	-6	6
37	-6	4
38	-6	2
39	-6	0
40	-6	-2
41	-6	-4
42	-6	-6
43	-4	-6
44	-2	-6
45	0	-6
46	2	-6
47	4	-6
48	6	-6
49	8	-6
50	8	-4
51	8	-2
52	8	0
53	8	2
54	8	4
55	8	6
56	8	8
57	6	8
58	4	8
59	2	8
60	0	8
61	-2	8
62	-4	8
63	-6	8
64	-8	8
65	-8	6
66	-8	4
67	-8	2
68	-8	0
69	-8	-2
70	-8	-4
71	-8	-6
72	-8	-8
73	-6	-8
74	-4	-8
75	-2	-8
76	0	-8
77	2	-8
78	4	-8
79	6	-8
80	8	-8
81	10	-8
82	10	-6
83	10	-4
84	10	-2
85	10	0
86	10	2
87	10	4
88	10	6
89	10	8
90	10	10
91	8	10
92	6	10
93	4	10
94	2	10
95	0	10
96	-2	10
97	-4	10
98	-6	10
99	-8	10
100	-10	10
101	-10	8
102	-10	6
103	-10	4
104	-10	2
105	-10	0
106	-10	-2
107	-10	-4
108	-10	-6
109	-10	-8
110	-10	-10
111	-8	-10
112	-6	-10
113	-4	-10
114	-2	-10
115	0	-10
116	2	-10
117	4	-10
118	6	-10
119	8	-10
120	10	-10
121	12	-10
122	12	-8
123	12	-6
124	12	-4
125	12	-2
126	12	0
127	12	2
128	12	4
129	12	6
130	12	8
131	12	10
132	12	12
133	10	12
134	8	12
135	6	12
136	4	12
137	2	12
138	0	12
139	-2	12
140	-4	12
141	-6	12
142	-8	12
143	-10	12
144	-12	12
145	-12	10
146	-12	8
147	-12	6
148	-12	4
149	-12	2
150	-12	0
151	-12	-2
152	-12	-4
153	-12	-6
154	-12	-8
155	-12	-10
156	-12	-12
157	-10	-12
158	-8	-12
159	-6	-12
160	-4	-12
161	-2	-12
162	0	-12
163	2	-12
164	4	-12
165	6	-12
166	8	-12
167	10	-12
168	12	-12
169	14	-12
170	14	-10
171	14	-8
172	14	-6
173	14	-4
174	14	-2
175	14	0
176	14	2
177	14	4
178	14	6
179	14	8
180	14	10
181	14	12
182	14	14
183	12	14
184	10	14
185	8	14
186	6	14
187	4	14
188	2	14
189	0	14
190	-2	14
191	-4	14
192	-6	14
193	-8	14
194	-10	14
195	-12	14
196	-14	14
197	-14	12
198	-14	10
199	-14	8
200	-14	6
201	-14	4
202	-14	2
203	-14	0
204	-14	-2
205	-14	-4
206	-14	-6
207	-14	-8
208	-14	-10
209	-14	-12
210	-14	-14
211	-12	-14
212	-10	-14
213	-8	-14
214	-6	-14
215	-4	-14
216	-2	-14
217	0	-14
218	2	-14
219	4	-14
220	6	-14
221	8	-14
222	10	-14
223	12	-14
224	14	-14
225	16	-14
226	16	-12
227	16	-10
228	16	-8
229	16	-6
230	16	-4
231	16	-2
232	16	0
233	16	2
234	16	4
235	16	6
236	16	8
237	16	10
238	16	12
239	16	14
240	16	16
241	14	16
242	12	16
243	10	16
244	8	16
245	6	16
246	4	16
247	2	16
248	0	16
249	-2	16
250	-4	16
251	-6	16
252	-8	16
253	-10	16
254	-12	16
255	-14	16
256	-16	16
257	-16	14
258	-16	12
259	-16	10
260	-16	8
261	-16	6
262	-16	4
263	-16	2
264	-16	0
265	-16	-2
266	-16	-4
267	-16	-6
268	-16	-8
269	-16	-10
270	-16	-12
271	-16	-14
272	-16	-16
273	-14	-16
274	-12	-16
275	-10	-16
276	-8	-16
277	-6	-16
278	-4	-16
279	-2	-16
280	0	-16
281	2	-16
282	4	-16
283	6	-16
284	8	-16
285	10	-16
286	12	-16
287	14	-16
288	16	-16
289	18	-16
290	18	-14
291	18	-12
292	18	-10
293	18	-8
294	18	-6
295	18	-4
296	18	-2
297	18	0
298	18	2
299	18	4
300	18	6
301	18	8
302	18	10
303	18	12
304	18	14
305	18	16
306	18	18
307	16	18
308	14	18
309	12	18
310	10	18
311	8	18
312	6	18
313	4	18
314	2	18
315	0	18
316	-2	18
317	-4	18
318	-6	18
319	-8	18
320	-10	18
321	-12	18
322	-14	18
323	-16	18
324	-18	18
325	-18	16
326	-18	14
327	-18	12
328	-18	10
329	-18	8
330	-18	6
331	-18	4
332	-18	2
333	-18	0
334	-18	-2
335	-18	-4
336	-18	-6
337	-18	-8
338	-18	-10
339	-18	-12
340	-18	-14
341	-18	-16
342	-18	-18
343	-16	-18
344	-14	-18
345	-12	-18
346	-10	-18
347	-8	-18
348	-6	-18
349	-4	-18
350	-2	-18
351	0	-18
352	2	-18
353	4	-18
354	6	-18
355	8	-18
356	10	-18
357	12	-18
358	14	-18
359	16	-18
360	18	-18
361	20	-18
362	20	-16
363	20	-14
364	20	-12
365	20	-10
366	20	-8
367	20	-6
368	20	-4
369	20	-2
370	20	0
371	20	2
372	20	4
373	20	6
374	20	8
375	20	10
376	20	12
377	20	14
378	20	16
379	20	18
380	20	20
381	18	20
382	16	20
383	14	20
384	12	20
385	10	20
386	8	20
387	6	20
388	4	20
389	2	20
390	0	20
391	-2	20
392	-4	20
393	-6	20
394	-8	20
395	-10	20
396	-12	20
397	-14	20
398	-16	20
399	-18	20
