INT	STRING	INT	INT	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING
属性组ID	属性组名	属性组概率（总概率10000，如果总和不足10000，则取当前和）	等级限制	影响属性ID	属性出现的装备类型	影响属性ID	属性出现的装备类型	影响属性ID	属性出现的装备类型	影响属性ID	属性出现的装备类型	影响属性ID	属性出现的装备类型	影响属性ID	属性出现的装备类型	影响属性ID	属性出现的装备类型	影响属性ID	属性出现的装备类型	影响属性ID	属性出现的装备类型	影响属性ID	属性出现的装备类型	影响属性ID	属性出现的装备类型	影响属性ID	属性出现的装备类型	影响属性ID	属性出现的装备类型	影响属性ID	属性出现的装备类型	影响属性ID	属性出现的装备类型	影响属性ID	属性出现的装备类型
1	力量	180	-1	2	3|4|9|10|37|38|43|44	0	1|2|7|8|35|36|41|42|20~29	4	5|6|11|12|39|40|45|46	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	敏捷	180	-1	0	1|2|7|8|35|36|41|42	2	3|4|9|10|37|38|43|44|20~29	4	5|6|11|12|39|40|45|46	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3	智力	180	-1	0	1|2|7|8|35|36|41|42	4	5|6|11|12|39|40|45|46|20~29	2	3|4|9|10|37|38|43|44	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4	智力+魔功伤害	150	20	12	1|2|7|8|35|36|41|42	4	5|6|11|12|39|40|45|46|20~29	10	5|6|11|12|39|40|45|46|20~29	14	3|4|9|10|37|38|43|44	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
5	体质+魔功伤害	100	20	6	1~12|20~29|35~46	10	5|6|11|12|39|40|45|46|20~29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
6	力量+近功伤害	150	20	10	5|6|11|12|39|40|45|46	0	1|2|7|8|35|36|41|42|20~29	12	1|2|7|8|35|36|41|42|20~29	14	3|4|9|10|37|38|43|44	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	体质+近功伤害	100	20	6	1~12|20~29|35~46	12	1|2|7|8|35|36|41|42|20~29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	敏捷+远功伤害	150	20	10	5|6|11|12|39|40|45|46	2	3|4|9|10|37|38|43|44|20~29	14	3|4|9|10|37|38|43|44|20~29	12	1|2|7|8|35|36|41|42|	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9	体质+远功伤害	100	20	6	1~12|20~29|35~46	14	3|4|9|10|37|38|43|44|20~29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10	智力+魔功伤害+生命回复+暴击（戒指）+闪避（手镯）	200	20	4	5|6|11|12|39|40|45|46|20~29	10	5|6|11|12|39|40|45|46|20~29	94	1~12|20~27|35~46	51	28	53	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
11	体质+魔功伤害+生命回复+暴击（戒指）+闪避（手镯）	200	20	6	1~12|20~29|35~46	10	5|6|11|12|39|40|45|46|20~29	94	1~12|20~27|35~46	51	28	53	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12	力量+近功伤害+生命回复+暴击（戒指）+闪避（手镯）	200	20	0	1|2|7|8|35|36|41|42|20~29	12	1|2|7|8|35|36|41|42|20~29	94	1~12|20~27|35~46	51	28	53	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
13	体质+近功伤害+生命回复+暴击（戒指）+闪避（手镯）	200	20	6	1~12|20~29|35~46	12	1|2|7|8|35|36|41|42|20~29	94	1~12|20~27|35~46	51	28	53	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
14	敏捷+远功伤害+生命回复+暴击（戒指）+闪避（手镯）	200	20	2	3|4|9|10|37|38|43|44|20~29	14	3|4|9|10|37|38|43|44|20~29	94	1~12|20~27|35~46	51	28	53	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
15	体质+远功伤害+生命回复+暴击（戒指）+闪避（手镯）	200	20	6	1~12|20~29|35~46	14	3|4|9|10|37|38|43|44|20~29	94	1~12|20~27|35~46	51	28	53	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
16	智力+魔功伤害+近防	150	20	22	1|2|3|4|7|8|9|10|35|36|37|38|42|43|45|46	4	5|6|11|12|39|40|45|46|20~29	10	5|6|11|12|39|40|45|46|20~29	18	23|25|27|26|20|22	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
17	体质+魔功伤害+近防	150	20	6	1~12|20~29|35~46	10	5|6|11|12|39|40|45|46|20~29	18	23|25|27|26|20|22	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
18	力量+近功伤害+近防	150	20	22	3|4|5|6|9|10|11|12|37|38|39|40|43|44|45|46|37|38|39|40|43|44|45|46	0	1|2|7|8|35|36|41|42|20~29	12	1|2|7|8|35|36|41|42|20~29	18	23|25|27|26|20|22	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
19	体质+近功伤害+近防	150	20	6	1~12|20~29|35~46	12	1|2|7|8|35|36|41|42|20~29	18	23|25|27|26|20|22	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
20	敏捷+远功伤害+近防	150	20	22	1|2|5|6|7|8|11|12|35|36|39|40|41|42|45|46	2	3|4|9|10|37|38|43|44|20~29	14	3|4|9|10|37|38|43|44|20~29	18	23|25|27|26|20|22	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
21	体质+远功伤害+近防	150	20	6	1~12|20~29|35~46	14	3|4|9|10|37|38|43|44|20~29	18	23|25|27|26|20|22	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
22	智力+魔功伤害+远防	150	20	22	1|2|3|4|7|8|9|10|35|36|37|38|42|43|45|46	4	5|6|11|12|39|40|45|46|20~29	10	5|6|11|12|39|40|45|46|20~29	20	23|25|27|26|20|22	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
23	体质+魔功伤害+远防	150	20	6	1~12|20~29|35~46	10	5|6|11|12|39|40|45|46|20~29	20	23|25|27|26|20|22	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
24	力量+近功伤害+远防	150	20	22	3|4|5|6|9|10|11|12|37|38|39|40|43|44|45|46|37|38|39|40|43|44|45|46	0	1|2|7|8|35|36|41|42|20~29	12	1|2|7|8|35|36|41|42|20~29	20	23|25|27|26|20|22	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
25	体质+近功伤害+远防	150	20	6	1~12|20~29|35~46	12	1|2|7|8|35|36|41|42|20~29	20	23|25|27|26|20|22	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
26	敏捷+远功伤害+远防	150	20	22	1|2|5|6|7|8|11|12|35|36|39|40|41|42|45|46	2	3|4|9|10|37|38|43|44|20~29	14	3|4|9|10|37|38|43|44|20~29	20	23|25|27|26|20|22	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
27	体质+远功伤害+远防	150	20	6	1~12|20~29|35~46	14	3|4|9|10|37|38|43|44|20~29	20	23|25|27|26|20|22	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
28	智力+魔功伤害+魔防	150	20	22	1|2|3|4|7|8|9|10|35|36|37|38|42|43|45|46	4	5|6|11|12|39|40|45|46|20~29	10	5|6|11|12|39|40|45|46|20~29	16	23|25|27|26|20|22	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
29	体质+魔功伤害+魔防	150	20	6	1~12|20~29|35~46	10	5|6|11|12|39|40|45|46|20~29	16	23|25|27|26|20|22	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
30	力量+近功伤害+魔防	150	20	22	3|4|5|6|9|10|11|12|37|38|39|40|43|44|45|46|37|38|39|40|43|44|45|46	0	1|2|7|8|35|36|41|42|20~29	12	1|2|7|8|35|36|41|42|20~29	16	23|25|27|26|20|22	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
31	体质+近功伤害+魔防	150	20	6	1~12|20~29|35~46	12	1|2|7|8|35|36|41|42|20~29	16	23|25|27|26|20|22	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
32	敏捷+远功伤害+魔防	150	20	22	1|2|5|6|7|8|11|12|35|36|39|40|41|42|45|46	2	3|4|9|10|37|38|43|44|20~29	14	3|4|9|10|37|38|43|44|20~29	16	23|25|27|26|20|22	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
33	体质+远功伤害+魔防	150	20	6	1~12|20~29|35~46	14	3|4|9|10|37|38|43|44|20~29	16	23|25|27|26|20|22	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
34	力量+近攻+近攻	150	20	22	3|4|5|6|9|10|11|12|37|38|39|40|43|44|45|46|37|38|39|40|43|44|45|46|20~29	0	1|2|7|8|35|36|41|42	12	1|2|7|8|35|36|41|42	12	1|2|7|8|35|36|41|42	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
35	敏捷+远攻+远攻	150	20	22	1|2|5|6|7|8|11|12|35|36|39|40|41|42|45|46|20~29	2	3|4|9|10|37|38|43|44	14	3|4|9|10|37|38|43|44	14	3|4|9|10|37|38|43|44	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
36	智力+魔攻+魔攻	150	20	22	1|2|3|4|7|8|9|10|35|36|37|38|42|43|45|46|20~29	4	5|6|11|12|39|40|45|46	10	5|6|11|12|39|40|45|46	10	5|6|11|12|39|40|45|46	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
37	智力+生命值+魔攻伤害+采集	50	30	4	5|6|11|12|39|40|45|46|20~29	22	1~12|20~29|35~46	10	5|6|11|12|39|40|45|46|20~29	166	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
38	力量+生命值+近攻伤害+采集	50	30	0	1|2|7|8|35|36|41|42|20~29	22	1~12|20~29|35~46	12	1|2|7|8|35|36|41|42|20~29	166	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
