INT	INT	INT	INT	INT
方案号	属性1概率	属性2概率	属性3概率	属性4概率
1	136	336	229	177
2	156	144	332	143
3	315	143	134	229
4	248	260	105	255
5	257	134	197	165
6	133	212	156	210
7	127	243	235	134
8	182	254	277	217
9	348	81	120	224
10	179	279	219	60
11	164	193	249	150
12	231	239	202	236
13	369	204	73	105
14	202	191	256	130
15	207	319	155	84
16	247	242	162	187
17	168	92	177	300
18	153	168	215	277
19	217	134	201	261
20	217	158	206	213
21	212	64	245	267
22	99	362	233	136
23	216	141	180	373
24	289	65	178	286
25	206	192	276	219
26	303	291	171	86
27	102	188	372	245
28	210	259	81	280
29	170	178	234	246
30	267	295	242	129
31	267	105	191	292
32	230	349	134	178
33	249	242	197	123
34	173	209	229	212
35	207	233	190	130
36	198	224	210	292
37	324	140	147	191
38	180	234	130	283
39	304	76	198	137
40	178	247	184	124
41	319	77	246	104
42	125	220	371	147
43	221	265	168	257
44	185	301	125	85
45	246	173	155	307
46	382	123	202	127
47	168	292	93	185
48	175	172	305	239
49	301	196	138	132
50	129	170	232	175
51	337	84	248	137
52	186	278	202	131
53	217	84	205	317
54	239	291	193	156
55	230	181	308	109
56	220	214	249	84
57	170	147	183	204
58	246	151	141	303
59	229	151	301	80
60	240	264	177	164
61	265	171	245	126
62	171	97	346	185
63	153	334	196	116
64	209	193	143	152
65	254	75	184	184
66	180	116	206	275
67	234	162	249	155
68	289	112	270	217
69	139	277	214	76
70	252	294	179	141
71	233	185	147	140
72	251	117	247	289
73	285	142	252	126
74	194	170	141	262
75	253	130	225	151
76	265	178	126	271
77	178	288	212	238
78	174	98	221	294
79	202	291	171	191
80	275	229	211	130
81	378	137	164	236
82	296	212	210	141
83	206	214	132	161
84	210	265	282	142
85	161	297	131	194
86	221	114	245	118
87	189	173	214	244
88	218	91	198	193
89	188	189	181	161
90	91	223	213	382
91	185	157	188	244
92	255	221	181	276
93	188	203	173	158
94	229	128	213	144
95	110	318	183	150
96	134	101	250	256
97	113	114	217	347
98	121	216	210	359
99	297	162	102	259
100	251	266	257	148
101	326	160	73	321
102	277	162	93	251
103	104	365	199	188
104	191	293	116	161
105	337	201	173	173
106	312	142	234	172
107	215	173	246	212
108	267	217	157	216
109	134	168	124	368
110	255	212	185	200
111	190	253	235	255
112	225	170	180	231
113	227	141	164	223
114	236	60	102	321
115	166	331	94	139
116	221	213	157	230
117	226	190	239	203
118	186	199	206	223
119	300	190	137	213
120	245	201	80	202
121	272	54	204	206
122	198	186	72	300
123	124	285	264	135
124	138	151	264	254
125	192	275	195	121
126	285	222	121	197
127	184	168	255	135
128	202	303	244	81
129	167	127	248	213
130	184	110	232	244
131	141	136	197	328
132	140	195	229	284
133	147	270	188	174
134	150	263	146	234
135	186	177	94	304
136	177	231	245	186
137	337	134	238	123
138	183	147	171	346
139	279	258	78	224
140	74	183	316	212
141	260	126	245	137
142	250	188	219	205
143	257	226	135	166
144	248	170	256	100
145	103	249	155	321
146	130	348	236	195
147	123	190	137	440
148	127	209	194	377
149	131	210	137	319
150	244	286	149	170
151	220	191	213	184
152	163	257	215	143
153	261	161	238	261
154	337	212	162	143
155	141	180	262	186
156	185	159	174	214
157	113	172	141	252
158	143	91	264	301
159	291	268	105	182
160	222	290	132	226
161	231	256	206	139
162	132	260	114	197
163	172	339	167	85
164	277	113	166	167
165	299	136	141	251
166	211	175	172	171
167	180	193	98	251
168	120	407	149	221
169	104	147	222	295
170	229	207	183	102
171	253	294	144	209
172	118	284	145	135
