INT	INT	INT	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING
ID	怪物价值	怪物掉落总量	物品组1价值	物品组1最大掉落	物品组1掉落内容	物品组2价值	物品组2最大掉落	物品组2掉落内容	物品组3价值	物品组3最大掉落	物品组3掉落内容	物品组4价值	物品组4最大掉落	物品组4掉落内容	物品组5价值	物品组5最大掉落	物品组5掉落内容	物品组6价值	物品组6最大掉落	物品组6掉落内容	物品组7价值	物品组7最大掉落	物品组7掉落内容	物品组8价值	物品组8最大掉落	物品组8掉落内容	物品组9价值	物品组9最大掉落	物品组9掉落内容	物品组10价值	物品组10最大掉落	物品组10掉落内容
1	1000	1	10000	1	1	20000	1	2	333000	1	3	1000000	1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	1000	1	10000	1	11	20000	1	12	333000	1	13	1000000	1	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3	1000	1	10000	1	21	20000	1	22	333000	1	23	1000000	1	24	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4	1000	1	10000	1	31	20000	1	32	333000	1	33	1000000	1	34	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
5	1000	1	10000	1	41	20000	1	42	333000	1	43	1000000	1	44	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
6	1000	1	10000	1	51	20000	1	52	333000	1	53	1000000	1	54	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
11	1000	1	50000	1	103	20000	1	102	5000	1	101	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12	1000	1	50000	1	113	20000	1	112	5000	1	111	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
13	1000	1	50000	1	123	20000	1	122	5000	1	121	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
14	1000	1	50000	1	133	20000	1	132	5000	1	131	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
15	1000	1	50000	1	143	20000	1	142	5000	1	141	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
16	1000	1	50000	1	153	20000	1	152	5000	1	151	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
21	1000	1	100000	1	203	20000	1	202	5000	1	201	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
22	1000	1	100000	1	213	20000	1	212	5000	1	211	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
23	1000	1	100000	1	223	20000	1	222	5000	1	221	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
24	1000	1	100000	1	233	20000	1	232	5000	1	231	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
25	1000	1	100000	1	243	20000	1	242	5000	1	241	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
26	1000	1	100000	1	253	20000	1	252	5000	1	251	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
31	1000	1	100000	1	303	20000	1	302	5000	1	301	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
32	1000	1	100000	1	313	20000	1	312	5000	1	311	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
33	1000	1	100000	1	323	20000	1	322	5000	1	321	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
34	1000	1	100000	1	333	20000	1	332	5000	1	331	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
35	1000	1	100000	1	343	20000	1	342	5000	1	341	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
36	1000	1	100000	1	353	20000	1	352	5000	1	351	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
