INT	INT
宠物等级	升级经验
1	140
2	280
3	455
4	665
5	910
6	1190
7	1505
8	1855
9	2240
10	2660
11	3090
12	3542
13	4025
14	4550
15	5127
16	5768
17	6482
18	7280
19	8172
20	9170
21	10283
22	11522
23	12897
24	14420
25	16100
26	17948
27	19974
28	22190
29	24605
30	27230
31	30075
32	33152
33	36470
34	40040
35	43872
36	47978
37	52367
38	57050
39	62037
40	67340
41	72968
42	78932
43	85242
44	91910
45	98945
46	106358
47	114159
48	122360
49	130970
50	140000
51	149460
52	159362
53	169715
54	180530
55	191817
56	203588
57	215852
58	228620
59	241902
60	255710
61	270053
62	284942
63	300387
64	316400
65	332990
66	350168
67	367944
68	386330
69	405335
70	424970
71	445245
72	466172
73	487760
74	510020
75	532962
76	556598
77	580937
78	605990
79	631767
80	658280
81	685538
82	713552
83	742332
84	771890
85	802235
86	833378
87	865329
88	898100
89	931700
90	966140
91	1001430
92	1037582
93	1074605
94	1112510
95	1151307
96	1191008
97	1231622
98	1273160
99	1315632
100	1359050
