INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
ID	¼¼ÄÜlv	ÎäÆ÷Àà±ð	Ö÷ÊÖÎäÆ÷id	¼¼ÄÜID1	¼¼ÄÜID2	¼¼ÄÜID3	¼¼ÄÜID4	¼¼ÄÜID5	¼¼ÄÜID6	¼¼ÄÜID7	¼¼ÄÜID8	¼¼ÄÜID9
1	1	0	0	0	0	0	0	0	0	0	0	0
2	1	1	1	0	0	0	0	0	0	0	0	0
3	1	1	30	0	0	0	0	0	0	0	0	0
4	1	2	60	0	0	0	0	0	0	0	0	0
5	1	3	92	2	2	2	2	2	2	2	2	2
6	1	4	120	2	2	2	2	2	2	2	2	2
7	1	5	150	1	1	1	1	1	1	1	1	1
8	1	6	180	1	1	1	1	1	1	1	1	1
9	1	8	242	0	0	0	0	0	0	0	0	0
10	1	8	243	0	0	0	0	0	0	0	0	0
#¼¼ÄÜ1£¨ÆÕÍ¨¹¥»÷£©												
11	1	0	0	0	0	0	0	0	0	0	0	0
12	1	1	1	0	0	0	0	0	0	0	0	0
13	1	1	30	0	0	0	0	0	0	0	0	0
14	1	2	60	0	0	0	0	0	0	0	0	0
15	1	3	92	2	2	2	2	2	2	2	2	2
16	1	4	120	2	2	2	2	2	2	2	2	2
17	1	5	150	1	1	1	1	1	1	1	1	1
18	1	6	180	1	1	1	1	1	1	1	1	1
19	1	8	242	0	0	0	0	0	0	0	0	0
20	1	8	243	0	0	0	0	0	0	0	0	0
#¼¼ÄÜ2												
21	2	0	0	0	0	0	0	0	0	0	0	0
22	2	1	1	0	0	0	0	0	0	0	0	0
23	2	1	30	0	0	0	0	0	0	0	0	0
24	2	2	60	0	0	0	0	0	0	0	0	0
25	2	3	92	2	2	2	2	2	2	2	2	2
26	2	4	120	2	2	2	2	2	2	2	2	2
27	2	5	150	1	1	1	1	1	1	1	1	1
28	2	6	180	1	1	1	1	1	1	1	1	1
29	2	8	242	0	0	0	0	0	0	0	0	0
30	2	8	243	0	0	0	0	0	0	0	0	0
#¼¼ÄÜ3												
31	3	0	0	0	0	0	0	0	0	0	0	0
32	3	1	1	0	0	0	0	0	0	0	0	0
33	3	1	30	0	0	0	0	0	0	0	0	0
34	3	2	60	0	0	0	0	0	0	0	0	0
35	3	3	92	2	2	2	2	2	2	2	2	2
36	3	4	120	2	2	2	2	2	2	2	2	2
37	3	5	150	1	1	1	1	1	1	1	1	1
38	3	6	180	1	1	1	1	1	1	1	1	1
39	3	8	242	0	0	0	0	0	0	0	0	0
40	3	8	243	0	0	0	0	0	0	0	0	0
#¼¼ÄÜ4												
41	4	0	0	0	0	0	0	0	0	0	0	0
42	4	1	1	0	0	0	0	0	0	0	0	0
43	4	1	30	0	0	0	0	0	0	0	0	0		
44	4	2	60	0	0	0	0	0	0	0	0	0		
45	4	3	92	2	2	2	2	2	2	2	2	2		
46	4	4	120	2	2	2	2	2	2	2	2	2		
47	4	5	150	1	1	1	1	1	1	1	1	1		
48	4	6	180	1	1	1	1	1	1	1	1	1		
49	4	8	242	0	0	0	0	0	0	0	0	0		
50	4	8	243	0	0	0	0	0	0	0	0	0		
#ÐÂÔöÎäÆ÷Ä£ÐÍ£¨100-199£©														
100	1	0	0	0	0	0	0	0	0	0	0	0	¿ÕÊÖ	
110	1	1	1	0	0	0	0	0	0	0	0	0	µ¶+¶Ü1	10_01
111	1	1	2	0	0	0	0	0	0	0	0	0	µ¶+¶Ü2	20_03
112	1	1	3	0	0	0	0	0	0	0	0	0	µ¶+¶Ü3	30_01
113	1	1	4	0	0	0	0	0	0	0	0	0	µ¶+¶Ü4	30_03
114	1	1	5	0	0	0	0	0	0	0	0	0	µ¶+¶Ü5	40_01
115	1	1	6	0	0	0	0	0	0	0	0	0	µ¶+¶Ü6	50_01
116	1	1	7	0	0	0	0	0	0	0	0	0	µ¶+¶Ü7	70_01
117	1	1	8	0	0	0	0	0	0	0	0	0	µ¶+¶Ü8	70_02
118	1	1	9	0	0	0	0	0	0	0	0	0	µ¶+¶Ü9	80_01
119	1	1	10	0	0	0	0	0	0	0	0	0	µ¶+¶Ü10	80_02
120	1	1	30	0	0	0	0	0	0	0	0	0	µ¶1	10_01
121	1	1	31	0	0	0	0	0	0	0	0	0	µ¶2	20_03
122	1	1	32	0	0	0	0	0	0	0	0	0	µ¶3	30_01
123	1	1	33	0	0	0	0	0	0	0	0	0	µ¶4	30_03
124	1	1	34	0	0	0	0	0	0	0	0	0	µ¶5	40_01
125	1	1	35	0	0	0	0	0	0	0	0	0	µ¶6	50_01
126	1	1	36	0	0	0	0	0	0	0	0	0	µ¶7	70_01
127	1	1	37	0	0	0	0	0	0	0	0	0	µ¶8	70_02
128	1	1	38	0	0	0	0	0	0	0	0	0	µ¶9	80_01
129	1	1	39	0	0	0	0	0	0	0	0	0	µ¶10	80_02
130	1	2	60	0	0	0	0	0	0	0	0	0	½£1	10_01
131	1	2	61	0	0	0	0	0	0	0	0	0	½£2	20_03
132	1	2	62	0	0	0	0	0	0	0	0	0	½£3	30_01
133	1	2	63	0	0	0	0	0	0	0	0	0	½£4	30_03
134	1	2	64	0	0	0	0	0	0	0	0	0	½£5	40_01
135	1	2	65	0	0	0	0	0	0	0	0	0	½£6	50_01
136	1	2	66	0	0	0	0	0	0	0	0	0	½£7	70_01
137	1	2	67	0	0	0	0	0	0	0	0	0	½£8	70_02
