INT	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING
掉落ID	物品组1价值	物品组1最大掉落	物品组1掉落内容	物品组2价值	物品组2最大掉落	物品组2掉落内容	物品组3价值	物品组3最大掉落	物品组3掉落内容	物品组4价值	物品组4最大掉落	物品组4掉落内容	物品组5价值	物品组5最大掉落	物品组5掉落内容	物品组6价值	物品组6最大掉落	物品组6掉落内容	物品组7价值	物品组7最大掉落	物品组7掉落内容	物品组8价值	物品组8最大掉落	物品组8掉落内容	物品组9价值	物品组9最大掉落	物品组9掉落内容	物品组10价值	物品组10最大掉落	物品组10掉落内容
#	野外怪通用掉落（1-160），每5级一个掉落ID		白装			蓝装			冗余材料			换钱道具			宝箱			红药+星尘						药水+图谱						
1	1000000	0	11960001	1000000	0	10010010|10020010|10030010|10040010|10050010|10060010|10200010|10230010|10250010|10260010|10270010|10350001|10360001|10370001|10380001|10390001|10400001	2000000	0	11020001|11020002|11030001	1500000	0	11960001	2000000	0	12090001	3000000	1	12010001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	1000000	0	11960001	1000000	0	10010010|10020010|10030010|10040010|10050010|10060010|10200010|10230010|10250010|10260010|10270010|10350001|10360001|10370001|10380001|10390001|10400001	2000000	0	11020001|11020002|11030001	1500000	0	11960001	2000000	0	12090001	3000000	1	12010001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3	1000000	1	10011101|10021101|10031101|10041101|10051101|10061101|10201101|10231101|10251101|10261101|10271101|10351002|10361002|10371002|10381002|10391002|10401002	1000000	1	10010020|10020020|10030020|10040020|10050020|10060020|10070020|10080020|10090020|10100020|10110020|10120020|10200020|10230020|10250020|10260020|10270020|10350002|10360002|10370002|10380002|10390002|10400002|10410002|10420002|10430002|10440002|10450002|10460002	2000000	0	11020001|11020002|11030001	500000	0	11960002	2000000	0	12090002	3000000	1	12010001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4	1000000	1	10011101|10021101|10031101|10041101|10051101|10061101|10201101|10231101|10251101|10261101|10271101|10351002|10361002|10371002|10381002|10391002|10401002	1000000	1	10010020|10020020|10030020|10040020|10050020|10060020|10070020|10080020|10090020|10100020|10110020|10120020|10200020|10230020|10250020|10260020|10270020|10350002|10360002|10370002|10380002|10390002|10400002|10410002|10420002|10430002|10440002|10450002|10460002	2000000	0	11020001|11020002|11030001	500000	1	11960002	2000000	0	12090002	3000000	1	12010001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
5	500000	1	10011102|10021102|10031102|10041102|10051102|10061102|10201102|10231102|10251102|10261102|10271102|10351003|10361003|10371003|10381003|10391003|10401003	500000	1	10010030|10020030|10030030|10040030|10050030|10060030|10070030|10080030|10090030|10100030|10110030|10120030|10200030|10230030|10250030|10260030|10270030|10280030|10290030|10350003|10360003|10370003|10380003|10390003|10400003|10410003|10420003|10430003|10440003|10450003|10460003	2000000	1	11020001|11020002	500000	1	11960003	1000000	0	12090003	100000	1	11000200	2000000	1	12010002	-1	-1	-1	-1	-1	-1	-1	-1	-1
6	500000	1	10011102|10021102|10031102|10041102|10051102|10061102|10201102|10231102|10251102|10261102|10271102|10351003|10361003|10371003|10381003|10391003|10401003	500000	1	10010030|10020030|10030030|10040030|10050030|10060030|10070030|10080030|10090030|10100030|10110030|10120030|10200030|10230030|10250030|10260030|10270030|10280030|10290030|10350003|10360003|10370003|10380003|10390003|10400003|10410003|10420003|10430003|10440003|10450003|10460003	2000000	1	11020001|11020002	500000	1	11960003	1000000	0	12090003	100000	1	11000200	2000000	1	12010002	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	500000	1	10011103|10021103|10031103|10041103|10051103|10061103|10071103|10081103|10091103|10101103|10111103|10121103|10201103|10231103|10251103|10261103|10271103|10281103|10291103	400000	1	10010040|10020040|10030040|10040040|10050040|10060040|10070040|10080040|10090040|10100040|10110040|10120040|10200040|10230040|10250040|10260040|10270040|10280040|10290040	2000000	1	11020001|11020002|11030001	500000	1	11960004	500000	0	12090004	100000	1	11000200	1500000	1	12010002	500000	1	10351004|10361004|10371004|10381004|10391004|10401004|10411003|10421003|10431003|10441003|10451003|10461003	200000	1	10350004|10360004|10370004|10380004|10390004|10400004|10410004|10420004|10430004|10440004|10450004|10460004	-1	-1	-1
8	500000	1	10011103|10021103|10031103|10041103|10051103|10061103|10071103|10081103|10091103|10101103|10111103|10121103|10201103|10231103|10251103|10261103|10271103|10281103|10291103	400000	1	10010040|10020040|10030040|10040040|10050040|10060040|10070040|10080040|10090040|10100040|10110040|10120040|10200040|10230040|10250040|10260040|10270040|10280040|10290040	2000000	1	11020001|11020002|11030001	500000	1	11960004	500000	0	12090004	100000	1	11000200	1500000	1	12010002	500000	1	10351004|10361004|10371004|10381004|10391004|10401004|10411003|10421003|10431003|10441003|10451003|10461003	200000	1	10350004|10360004|10370004|10380004|10390004|10400004|10410004|10420004|10430004|10440004|10450004|10460004	-1	-1	-1
9	300000	1	10011104|10021104|10031104|10041104|10051104|10061104|10071104|10081104|10091104|10101104|10111104|10121104|10201104|10231104|10251104|10261104|10271104|10281104|10291104	300000	1	10010050|10020050|10030050|10040050|10050050|10060050|10070050|10080050|10090050|10100050|10110050|10120050|10200050|10230050|10250050|10260050|10270050|10280050|10290050	1800000	1	11020006|11020007|11030001	200000	1	11960005	300000	0	12090005	40000	1	11000201	500000	1	12010003	500000	1	10351005|10361005|10371005|10381005|10391005|10401005|10411004|10421004|10431004|10441004|10451004|10461004	200000	1	10350005|10360005|10370005|10380005|10390005|10400005|10410005|10420005|10430005|10440005|10450005|10460005	-1	-1	-1
