INT	STRING	STRING	STRING	STRING	STRING	INT
编号	问题描述	选项1	选项2	选项3	选项4	答案
0	现在的灯谜是：\n\t#G文武合一，猜一字	斌	剪	戈	赏	1
1	现在的灯谜是：\n\t#G方言，猜一字	访	门	闷	尚	1
2	现在的灯谜是：\n\t#G日加直，不加点，猜一字	神	步	镇	部	1
3	现在的灯谜是：\n\t#G日长月短左右战，一正一反两边排，猜一字	门	合	者	困	1
4	现在的灯谜是：\n\t#G日复一日，猜一字	昌	冒	晶	明	1
5	现在的灯谜是：\n\t#G日落半林中，猜一字	東	动	冬	佟	1
6	现在的灯谜是：\n\t#G日落相残洗却凡心一点，猜一字	秃	禾	香	利	1
7	现在的灯谜是：\n\t#G月光照进门，猜一字	闲	碰	尚	洒	1
8	现在的灯谜是：\n\t#G水上工程，猜一字	汞	忠	杰	林	1
9	现在的灯谜是：\n\t#G火烬炉冷平添意马心猿，猜一字	驴	广	咣	启	1
10	现在的灯谜是：\n\t#G王昭君仰首看斜月，云天吊亡魂，猜一字	望	想	思	召	1
11	现在的灯谜是：\n\t#G付出爱心，猜一字	受	爱	菜	采	1
12	现在的灯谜是：\n\t#G出一半有何不可，猜一字	仙	汕	出	拙	1
13	现在的灯谜是：\n\t#G出自幽谷，迁於乔木，猜一字	呆	昊	兄	突	1
14	现在的灯谜是：\n\t#G半出半进，猜一字 	崔	唯	住	洼	1
15	现在的灯谜是：\n\t#G半个人，猜一字	士	伴	志	仕	2
16	现在的灯谜是：\n\t#G半个月亮，猜一字	般	胖	肌	朋	2
17	现在的灯谜是：\n\t#G半真半假，猜一字	郑	值	霞	种	2
18	现在的灯谜是：\n\t#G半推半就，猜一字 	准	掠	淮	凉	2
19	现在的灯谜是：\n\t#G古时候的月亮，猜一字 	泸	胡	沽	估	2
20	现在的灯谜是：\n\t#G只是近黄昏，猜一字	酒	酱	茜	恩	2
21	现在的灯谜是：\n\t#G四面都是山，山山皆相连，猜一字 	声	田	井	习	2
22	现在的灯谜是：\n\t#G失其心也，猜一字 	患	共	串	井	2
23	现在的灯谜是：\n\t#G打开门有客来先脱帽再脱衣，猜一字	冒	阁	穿	依	2
24	现在的灯谜是：\n\t#G打断念头，猜一字 	折	心	沢	裘	2
25	现在的灯谜是：\n\t#G正月无初一，猜一字	此	肯	哲	背	2
26	现在的灯谜是：\n\t#G正字少一横，不作止字猜，猜一字	扯	步	淡	缸	2
27	现在的灯谜是：\n\t#G田中，猜一字	仕	十	由	申	2
28	现在的灯谜是：\n\t#G田里雨后长青草，猜一字 	香	蕾	请	箐	2
29	现在的灯谜是：\n\t#G甲乙丙丁戊己庚辛壬癸，猜一字	审	天	旱	卞	3
30	现在的灯谜是：\n\t#G白头谐老，猜一字	泊	唦	舌	任	3
31	现在的灯谜是：\n\t#G目字加两点，别做贝字猜，猜一字	宝	员	贺	列	3
32	现在的灯谜是：\n\t#G休要丢人现眼，猜一字	穆	木	相	亩	3
33	现在的灯谜是：\n\t#G多一半，猜一字	刹	移	夕	谬	3
34	现在的灯谜是：\n\t#G如箭在弦，猜一字	射	支	引	十	3
35	现在的灯谜是：\n\t#G存心不善，有口难言，猜一字	雀	中	亚	仔	3
36	现在的灯谜是：\n\t#G旭日不出，猜一字	申	蛊	九	旮	3
37	现在的灯谜是：\n\t#G有口亦难分诉，猜一字	拆	住	亚	恋	3
38	现在的灯谜是：\n\t#G有心得志，猜一字	寺	崩	士	剐	3
39	现在的灯谜是：\n\t#G有手怀抱里，有脚想溜掉，有火点就跑，猜一个字	吥	相	包	苞	3
40	现在的灯谜是：\n\t#G有目共睹，猜一个字	杏	署	者	罡	3
41	现在的灯谜是：\n\t#G有两个动物，一个在水里，一个在山上，猜一字	牛	洋	鲜	祥	3
42	现在的灯谜是：\n\t#G有话大家讲，猜一字	刮	煮	讼	颂	3
43	现在的灯谜是：\n\t#G有轿不坐，有马不骑，今天二十九，明日初一，猜一字	越	脚	赵	走	3
44	现在的灯谜是：\n\t#G此地景色佳，依山傍水真迷人，猜一字	滇	值	出	汕	4
45	现在的灯谜是：\n\t#G此字不难猜，而且不分开，请问是那个字	耐	分	岔	面	4
