INT	STRING	STRING	STRING	STRING	STRING	INT
编号	问题描述	选项1	选项2	选项3	选项4	答案
0	请耐心思考再作答：\n\t#G春秋时期，“卧薪尝胆”终成霸业的是	楚庄王	晋文公	齐桓公	越王勾践	4
1	请耐心思考再作答：\n\t#G公元230年，东吴大将卫温、诸葛直率万人乘舰船到夷洲，夷洲是今天的	台湾	海南岛	日本	菲律宾	1
2	请耐心思考再作答：\n\t#G被誉为“书圣”的是	王羲之	顾恺之	张仲景	司马迁	1
3	请耐心思考再作答：\n\t#G战国七雄中，最终统一中国的国家是	秦	齐	赵	楚	1
4	请耐心思考再作答：\n\t#G与汉朝长期征战的北方少数民族是	匈奴	突厥	鲜卑	契丹	1
5	请耐心思考再作答：\n\t#G唐朝三省六部制中，负责执行的是	中书省	尚书省	门下省	河南省	2
6	请耐心思考再作答：\n\t#G在我国的少数民族中，元朝时期才形成的民族是	回族	蒙古族	女真族	畏兀儿	1
7	请耐心思考再作答：\n\t#G现存世界上最古老的石拱桥是	卢沟桥	赵州桥	学步桥	七孔桥	2
8	请耐心思考再作答：\n\t#G《玄秘塔碑》是下面哪位人物的作品	柳宗元	颜真卿	柳公权	杜甫	3
9	请耐心思考再作答：\n\t#G我国古代最伟大的浪漫主义诗人是	屈原	曹植	李白	苏轼	3
10	请耐心思考再作答：\n\t#G我国古代大思想家、大教育家孔子，向学生收取的“学费”主要是	金锭	银两	铜钱	肉	4
11	请耐心思考再作答：\n\t#G端午节相传是为了纪念战国时期的大诗人屈原。他生活在当时的	越国	赵国	楚国	魏国	3
12	请耐心思考再作答：\n\t#G三顾茅庐的历史故事发生于	西汉时期	东汉时期	三国时期	西晋时期	2
13	请耐心思考再作答：\n\t#G唐太宗李世民是通过发动玄武门之变而取得帝位的。当时长安城的玄武门属于	东门	西门	南门	北门	4
14	请耐心思考再作答：\n\t#G我国古代被誉为“草圣”的大书法家是 	王羲之	颜真卿	柳公权	张旭	4
15	请耐心思考再作答：\n\t#G我国古代四大发明之一火药开始用于战争是在	隋朝末年	唐朝末年	北宋末年	南宋末年	2
16	请耐心思考再作答：\n\t#G向秦始皇建议焚书的是	蒙恬	秦二世	李斯	赵高	3
17	请耐心思考再作答：\n\t#G奠定曹操统一北方基础的战役是	巨鹿之战	官渡之战	赤壁之战	淝水之战	2
18	请耐心思考再作答：\n\t#G建立北魏政权的少数民族是	匈奴族	氐族	鲜卑族	羯族	3
19	请耐心思考再作答：\n\t#G西汉时最高的学府是	太学	大学	书院	私塾	1
20	请耐心思考再作答：\n\t#G我国历史上正式建立帝王年号是在	秦始皇时期	秦二世时期	汉高祖时期	汉武帝时期	4
21	请耐心思考再作答：\n\t#G赵匡胤和赵光义是什么关系？	父子	叔侄	兄弟	夫妻	3
22	请耐心思考再作答：\n\t#G台湾是中国领土不可分割的一部分，最早将台湾纳入其行政管理范围的是	唐朝	宋朝	元朝	明朝	3
23	请耐心思考再作答：\n\t#G“老骥伏枥，志在千里。烈士暮年，壮心不已”的作者是	刘备	关羽	张飞	曹操	4
24	请耐心思考再作答：\n\t#G关羽是哪里人？	山东	山西	河南	河北	2
25	请耐心思考再作答：\n\t#G刘关张中，谁和谁是同乡？	刘关	关张	刘张	都是	3
26	请耐心思考再作答：\n\t#G杜甫诗“忆昔开元全盛日，小邑犹藏万家室。”描述的盛世景象是 	文景之治	贞观之治	开元盛世	康乾盛世	3
27	请耐心思考再作答：\n\t#G“青山有幸埋忠骨；白铁无辜铸佞臣。” 对联中的“忠骨”、“佞臣”分别指	魏征、杨国忠	岳飞、秦桧	岳飞、宋高宗	孙中山、袁世凯	2
28	请耐心思考再作答：\n\t#G古代家教故事中属于家长对子女进行爱国主义教育的是	孟母断织教子	司马光《训俭示康》	诸葛亮《诫子书》	岳母刺字	4
29	请耐心思考再作答：\n\t#G“孟母三迁”指的是孟母为了教育儿子，而三次	搬家	移民	跳槽	改嫁	1
30	请耐心思考再作答：\n\t#G孟母为了教育儿子，曾几次搬家？	一次	两次	三次	四次	3
31	请耐心思考再作答：\n\t#G历代帝皇举行封禅庆典是在	庐山	泰山	五台山	香山	2
32	请耐心思考再作答：\n\t#G一代豪杰曹操感慨而发的是诗句是	举杯邀明月	今日有酒今朝醉	何以解忧，惟有杜康	把酒问青天	3
33	请耐心思考再作答：\n\t#G中医沿用的四诊法来自于春秋战国之际的名医	扁鹊	张仲景	孙思邈	李时珍	1
34	请耐心思考再作答：\n\t#G《倚天屠龙记》中说明教源于波斯，那么明教在波斯称什么呢？	琐罗亚斯德教	圣火教	光明教	拜火教	1
35	请耐心思考再作答：\n\t#G“自古皆贵中华，贱夷狄，朕独爱之如一”这句话是谁说的？	唐高祖	唐太宗	唐中宗	唐玄宗	2
36	请耐心思考再作答：\n\t#G下列传说中的人物中与“禅让制”无关的人物是	尧	舜	禹	商纣王	4
37	请耐心思考再作答：\n\t#G战国时期各国掀起的变法运动中，效果最显著的是	齐国	秦国	楚国	燕国	2
38	请耐心思考再作答：\n\t#G世界上最早的纸币是	饺子	交子	彩钞	金券	2
39	请耐心思考再作答：\n\t#G秦始皇下令作为标准文字，推行全国的是	大篆	小篆	隶书	楷书	2
40	请耐心思考再作答：\n\t#G《圣经》是哪一大宗教的经典？	佛教	伊斯兰教	基督教	道教	3
41	请耐心思考再作答：\n\t#G唐玄宗统治前期，唐朝进入了全盛时期，被称为	文景之治	开皇之治	开元盛世	光武中兴	3
42	请耐心思考再作答：\n\t#G隋朝大运河分为四段，其中流经现在浙江省的一段是	邗沟	江南河	永济渠	通济渠	2
43	请耐心思考再作答：\n\t#G最早引起欧洲人对中国文明极大兴趣的书籍是	《大唐西域记》	《东游记》	《马可·波罗游记》	《西游记》	3
44	请耐心思考再作答：\n\t#G被鲁迅称赞为“史家之绝唱，无韵之离骚”的代表作品是	《离骚》	《史记》	《战国策》	《春秋》	2
45	请耐心思考再作答：\n\t#G谁在陈桥驿站黄袍加身？	赵匡胤	赵光义	赵高	赵构	1
46	请耐心思考再作答：\n\t#G隋炀帝发动的三次战争是对	匈奴	陈朝	高丽	突厥	3
47	请耐心思考再作答：\n\t#G我国科举制度正式形成于	汉朝	晋朝	隋朝	唐朝	3
48	请耐心思考再作答：\n\t#G发动“玄武门之变”的是	李建成	李世民	李元吉	李元霸	2
49	请耐心思考再作答：\n\t#G维吾尔族的祖先在唐玄宗时被称作	突厥	回纥	回鹘	畏兀儿	2
50	请耐心思考再作答：\n\t#G唐朝的外国留学生中，人数最多的是	新罗人	越南人	日本人	波斯人	1
51	请耐心思考再作答：\n\t#G今天的印度，在唐朝时称为	安息	大秦	天竺	西域	3
52	请耐心思考再作答：\n\t#G建于隋朝的建筑物是	赵州桥	大雁塔	大昭寺	佛光寺	1
53	请耐心思考再作答：\n\t#G后世尊称的“药王”是	僧一行	王叔和	李时珍	孙思邈	4
54	请耐心思考再作答：\n\t#G被后人尊称“诗圣”的唐朝诗人是	李白	杜甫	白居易	王维	2
