INT	INT	FLOAT	FLOAT	INT	INT	INT
INT	INT	FLOAT	FLOAT	生长点类型(0标准式1集合式)	种子数	种子补充的间隔时间
1	195	113.617126	238.244934			
2	195	118.588715	238.430359			
3	400	231.041687	116.088043	1	1	-1
4	400	199.600494	106.515976	1	1	-1
5	400	224.388275	113.672836	1	1	-1
6	400	216.349884	93.595604	1	1	-1
7	400	196.519379	98.09639	1	1	-1
8	400	220.758118	111.2827	1	1	-1
9	400	207.378281	92.602562	1	1	-1
10	400	220.584381	87.130615	1	1	-1
11	400	205.645645	97.36351	1	1	-1
12	400	210.580231	100.762543	1	1	-1
13	400	212.046371	103.505569	1	1	-1
14	400	220.757233	100.46756	1	1	-1
15	400	205.443802	113.673172	1	1	-1
16	400	219.816116	117.42836	1	1	-1
17	400	217.603043	120.069519	1	1	-1
18	400	214.053757	88.815117	1	1	-1
19	400	228.986237	80.297714	1	1	-1
20	400	228.251221	85.780121	1	1	-1
21	400	220.426529	81.686501	1	1	-1
22	400	228.234375	94.156036	1	1	-1
23	400	223.221954	95.265602	1	1	-1
24	401	225.489349	92.52285	1	1	-1
25	401	218.729904	78.944641	1	1	-1
26	401	216.86113	82.006622	1	1	-1
27	401	226.330048	83.292656	1	1	-1
28	401	213.921677	86.419083	1	1	-1
29	401	226.525116	125.279205	1	1	-1
30	401	228.55957	122.482117	1	1	-1
31	401	225.526764	122.82782	1	1	-1
32	401	222.090424	119.822205	1	1	-1
33	401	211.794373	116.350525	1	1	-1
34	401	208.953964	112.972809	1	1	-1
35	401	208.131332	103.252731	1	1	-1
36	401	209.508362	95.635284	1	1	-1
37	401	211.516373	89.368553	1	1	-1
38	401	218.541061	89.668289	1	1	-1
39	401	222.782303	89.78363	1	1	-1
40	401	214.69519	96.980392	1	1	-1
41	401	218.48613	96.69809	1	1	-1
42	401	219.726196	105.172272	1	1	-1
43	401	217.420135	102.66745	1	1	-1
44	401	200.671158	96.347717	1	1	-1
45	401	198.890396	100.317993	1	1	-1
46	402	217.016098	109.893417	1	1	-1
47	402	214.53508	111.967926	1	1	-1
48	402	202.207474	107.187103	1	1	-1
49	402	201.069687	110.03801	1	1	-1
50	402	229.826965	113.656662	1	1	-1
51	402	228.133698	118.15712	1	1	-1
52	402	210.374329	118.963531	1	1	-1
53	402	207.35022	109.753922	1	1	-1
54	402	213.070953	120.25473	1	1	-1
55	402	201.451324	116.758804	1	1	-1
56	402	198.150162	117.692368	1	1	-1
57	402	199.749588	120.13826	1	1	-1
58	402	192.877106	110.342773	1	1	-1
59	402	195.207458	112.207672	1	1	-1
60	402	194.816391	108.921402	1	1	-1
61	402	220.152267	124.338455	1	1	-1
62	402	221.850113	126.260864	1	1	-1
63	402	217.970032	125.881516	1	1	-1
64	402	206.006256	121.22612	1	1	-1
65	402	204.262207	123.529434	1	1	-1
66	402	207.964859	123.923691	1	1	-1
67	402	213.565582	108.233353	1	1	-1
