INT	INT	INT	INT	INT	STRING	STRING	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
index	guid	type	obj_id	camp_id	name	title	pos_x	pos_z	dir	script_id	respawn_time	group_id	team_id	base_ai	ai_file	patrol_id	shop0	shop1	shop2	shop3	ReputationID	level
0	15052370	2600	101114	-1	楼兰猎场	楼兰王国传送人	198.800003	84.599998	13	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100
1	15052371	11992	125000	-1	雄鹰长老	楼兰先贤	201.961761	74.766678	19	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20
2	15052372	12000	125001	-1	智者哈达		193.795334	84.419113	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20
3	15052373	11980	125002	-1	刀之灵		145.948013	105.703278	16	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20
4	15052374	11981	125003	-1	剑之灵		142.498581	106.767242	16	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20
5	15052375	11982	125004	-1	枪之灵		138.912964	107.348297	20	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20
6	15052376	11983	125005	-1	弓之灵		135.458237	106.93779	20	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20
7	15052377	11984	125006	-1	槌之灵		131.230957	106.392273	20	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20
8	15052378	11985	125007	-1	杖之灵		127.45314	104.692245	24	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20
9	15052379	11986	125008	-1	矛之灵		146.647934	94.060715	24	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20
10	15052380	11987	125009	-1	令之灵		142.856567	92.600685	24	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20
11	15052381	11988	125010	-1	弩之灵		139.077652	91.691559	28	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20
12	15052382	11989	125011	-1	铳之灵		134.530548	91.384277	28	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20
13	15052383	11990	125012	-1	幡之灵		130.710617	92.406601	28	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20
14	15052384	11991	125013	-1	圣十字之灵		127.170868	94.255547	32	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20
15	15052385	11994	125014	-1	苍狼长老	楼兰先贤	143.098633	99.575409	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20
16	15052386	11995	125015	-1	木图	白鹿长老的随从	80.549034	71.799294	25	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20
17	15052387	11996	125016	-1	白鹿长老	楼兰先贤	74.240761	116.547867	6	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20
18	15052389	11960	125018	-1	铁武	新兵军需官	145	203	18	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20
19	15052391	11960	125026	-1	铁力	新兵教官	142.310608	197.184616	26	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20
247	15052468	11954	125037	20	金虎	楼兰右都尉	141	102	18	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20
